N_Processo;Tipo_Movimentação;Data;Objeto;Tempo;Censura
1,00202E+19;Conclusão-Decurso de Prazo;15/10/2015;Outros;1;0
1,00202E+19;Conclusão-Documento;03/12/2015;Outros;11;0
1,00202E+19;Conclusão-Documento;04/05/2016;Outros;19;0
1,00202E+19;Redistribuição;19/02/2018;Outros;651;1
1,00202E+19;Conclusão-Documento;30/03/2015;Contratos Bancários;29;0
1,00202E+19;Conclusão-Decurso de Prazo;08/02/2018;Contratos Bancários;61;0
1,00202E+19;Conclusão-Petição;27/03/2019;Contratos Bancários;90;0
1,00202E+19;Conclusão-Decurso de Prazo;30/10/2019;Contratos Bancários;33;0
1,00202E+19;Mero expediente;30/10/2019;Contratos Bancários;33;1
1,00203E+19;Conclusão-Documento;30/03/2015;Contratos Bancários;29;0
1,00203E+19;Conclusão-Petição;21/09/2017;Contratos Bancários;196;0
1,00203E+19;Petição;12/08/2019;Contratos Bancários;112;1
1,00206E+19;Conclusão-Distribuição;06/04/2015;Outros;1;0
1,00206E+19;Conclusão-Documento;02/06/2015;Outros;3;0
1,00206E+19;Conclusão-Documento;06/07/2015;Outros;66;0
1,00206E+19;Conclusão-Petição;20/03/2017;Outros;2;0
1,00206E+19;Conclusão-Decurso de Prazo;04/05/2017;Outros;1;0
1,00206E+19;Redistribuição;19/02/2018;Outros;651;1
1,00215E+19;Conclusão-Redistribuição;06/04/2015;Outros;1;0
1,00215E+19;Conclusão-Mero expediente;29/05/2015;Outros;7;0
1,00215E+19;Conclusão-Petição;23/02/2016;Outros;223;0
1,00215E+19;Conclusão-Ato ordinatorio;03/10/2016;Outros;2;0
1,00215E+19;Redistribuição;19/02/2018;Outros;651;1
1,00216E+19;Conclusão-Documento;07/04/2015;Contratos Bancários;21;0
1,00216E+19;Conclusão-Petição;11/01/2018;Contratos Bancários;84;0
1,00216E+19;Conclusão-Decurso de Prazo;20/09/2018;Contratos Bancários;60;0
1,00216E+19;Decurso de Prazo;24/08/2019;Contratos Bancários;100;1
1,00152E+19;Conclusão-Documento;24/02/2016;Inscrição / Documentação;6;0
1,00152E+19;Conclusão-Decurso de Prazo;05/05/2016;Inscrição / Documentação;6;0
1,00152E+19;Conclusão-Documento;30/05/2016;Inscrição / Documentação;11;0
1,00152E+19;Redistribuição;19/02/2018;Inscrição / Documentação;651;1
1,00235E+19;Conclusão-Distribuição;14/04/2015;Outros;14;0
1,00235E+19;Conclusão-Decurso de Prazo;22/09/2017;Outros;201;0
1,00235E+19;Decurso de Prazo;23/08/2019;Outros;101;1
1,00235E+19;Conclusão-Petição;14/04/2015;Outros;14;0
1,00235E+19;Conclusão-Petição;04/07/2017;Outros;14;0
1,00235E+19;Decurso de Prazo;23/08/2019;Outros;101;1
1,00251E+19;Conclusão-Distribuição;22/04/2015;Contratos Bancários;6;0
1,00251E+19;Conclusão-Petição;21/09/2017;Contratos Bancários;201;0
1,00251E+19;Decurso de Prazo;23/08/2019;Contratos Bancários;101;1
1,00264E+19;Conclusão-Documento;27/04/2015;Contratos Bancários;1;0
1,00264E+19;Conclusão-Decurso de Prazo;21/09/2017;Contratos Bancários;194;0
1,00264E+19;Conclusão-Decurso de Prazo;27/05/2019;Contratos Bancários;127;0
1,00264E+19;Petição;17/10/2019;Contratos Bancários;46;1
1,00269E+19;Conclusão-Documento;28/04/2015;Contratos Bancários;280;0
1,00269E+19;Conclusão-Petição;18/08/2017;Contratos Bancários;217;0
1,00269E+19;Conclusão-Decurso de Prazo;23/04/2019;Contratos Bancários;77;0
1,00269E+19;Decurso de Prazo;08/10/2019;Contratos Bancários;55;1
1,0028E+19;Conclusão-Documento;30/04/2015;Contratos Bancários;278;0
1,0028E+19;Conclusão-Decurso de Prazo;08/02/2018;Contratos Bancários;99;0
1,0028E+19;Decurso de Prazo;24/08/2019;Contratos Bancários;100;1
1,00286E+19;Conclusão-Documento;05/05/2015;Contratos Bancários;273;0
1,00286E+19;Conclusão-Decurso de Prazo;08/02/2018;Contratos Bancários;61;0
1,00286E+19;Decurso de Prazo;23/08/2019;Contratos Bancários;101;1
1,00284E+19;Conclusão-Distribuição;05/05/2015;Contratos Bancários;273;0
1,00284E+19;Conclusão-Decurso de Prazo;19/12/2017;Contratos Bancários;105;0
1,00284E+19;Decurso de Prazo;23/08/2019;Contratos Bancários;101;1
1,00293E+19;Conclusão-Documento;06/05/2015;Contratos Bancários;1;0
1,00293E+19;Decurso de Prazo;23/08/2019;Contratos Bancários;101;1
1,00296E+19;Conclusão-Documento;06/05/2015;Contratos Bancários;1;0
1,00296E+19;Conclusão-Petição;26/09/2017;Contratos Bancários;197;0
1,00296E+19;Decurso de Prazo;23/08/2019;Contratos Bancários;101;1
1,00304E+19;Conclusão-Documento;11/05/2015;Contratos Bancários;4;0
1,00304E+19;Conclusão-Petição;21/09/2017;Contratos Bancários;1;0
1,00304E+19;Conclusão-Decurso de Prazo;08/02/2018;Contratos Bancários;56;0
1,00304E+19;Conclusão-Decurso de Prazo;27/03/2019;Contratos Bancários;91;0
1,00304E+19;Decurso de Prazo;10/08/2019;Contratos Bancários;114;1
1,00306E+19;Conclusão-Documento;09/06/2015;Outros;2;0
1,00306E+19;Conclusão-Documento;22/02/2016;Outros;2;0
1,00306E+19;Conclusão-Documento;01/03/2016;Outros;92;0
1,00306E+19;Redistribuição;19/02/2018;Outros;651;1
1,00306E+19;Conclusão-Documento;11/05/2015;Contratos Bancários;4;0
1,00306E+19;Conclusão-Petição;21/09/2017;Contratos Bancários;201;0
1,00306E+19;Decurso de Prazo;23/08/2019;Contratos Bancários;101;1
1,0031E+19;Conclusão-Documento;12/05/2015;Contratos Bancários;3;0
1,0031E+19;Conclusão-Petição;13/06/2017;Contratos Bancários;294;0
1,0031E+19;Conclusão-Decurso de Prazo;20/09/2018;Contratos Bancários;60;0
1,0031E+19;Decurso de Prazo;07/08/2019;Contratos Bancários;117;1
1,00335E+19;Conclusão-Documento;05/06/2015;Outros;11;0
1,00335E+19;Conclusão-Documento;29/09/2015;Outros;6;0
1,00335E+19;Conclusão-Petição;13/11/2015;Outros;109;0
1,00335E+19;Conclusão-Documento;12/04/2016;Outros;45;0
1,00335E+19;Conclusão-Decurso de Prazo;09/08/2016;Outros;10;0
1,00335E+19;Redistribuição;19/02/2018;Outros;651;1
1,00339E+19;Conclusão-Distribuição;26/05/2015;Outros;253;0
1,00339E+19;Conclusão-Decurso de Prazo;08/02/2018;Outros;145;0
1,00339E+19;Conclusão-Petição;12/06/2019;Outros;27;0
1,00339E+19;Decurso de Prazo;28/09/2019;Outros;65;1
1,00339E+19;Conclusão-Documento;09/06/2015;Contratos Bancários;2;0
1,00339E+19;Conclusão-Documento;15/04/2016;Contratos Bancários;152;0
1,00339E+19;Conclusão-Documento;01/12/2016;Contratos Bancários;6;0
1,00339E+19;Conclusão-Mero expediente;21/03/2017;Contratos Bancários;3;0
1,00339E+19;Conclusão-Decurso de Prazo;15/05/2017;Contratos Bancários;112;0
1,00339E+19;Conclusão-Redistribuição;27/02/2018;Contratos Bancários;42;0
1,00339E+19;Conclusão-Decurso de Prazo;13/06/2018;Contratos Bancários;35;0
1,00339E+19;Conclusão-Decurso de Prazo;08/03/2019;Contratos Bancários;73;0
1,00339E+19;Ato ordinatorio;20/05/2019;Contratos Bancários;196;1
1,00341E+19;Conclusão-Documento;26/05/2015;Contratos Bancários;253;0
1,00341E+19;Conclusão-Petição;15/01/2018;Contratos Bancários;80;0
1,00341E+19;Petição;18/09/2019;Contratos Bancários;75;1
1,00344E+19;Conclusão-Documento;09/06/2015;Contratos Bancários;2;0
1,00344E+19;Conclusão-Mandado;23/02/2016;Contratos Bancários;13;0
1,00344E+19;Conclusão-Documento;15/04/2016;Contratos Bancários;409;0
1,00344E+19;Conclusão-Documento;18/07/2017;Contratos Bancários;7;0
1,00344E+19;Conclusão-Mudança de Classe Processual;02/10/2017;Contratos Bancários;1;0
1,00344E+19;Conclusão-Petição;16/01/2018;Contratos Bancários;7;0
1,00344E+19;Conclusão-Petição;09/05/2019;Contratos Bancários;207;1
1,00344E+19;Conclusão-Documento;26/05/2015;Contratos Bancários;5;0
1,00344E+19;Conclusão-Petição;13/06/2017;Contratos Bancários;294;0
1,00344E+19;Conclusão-Decurso de Prazo;30/10/2019;Contratos Bancários;33;0
1,00344E+19;Mero expediente;30/10/2019;Contratos Bancários;33;1
1,0036E+19;Conclusão-Documento;29/05/2015;Contratos Bancários;2;0
1,0036E+19;Conclusão-Petição;09/06/2017;Contratos Bancários;110;0
1,0036E+19;Decurso de Prazo;23/08/2019;Contratos Bancários;101;1
1,00368E+19;Conclusão-Documento;09/06/2015;Contratos Bancários;240;0
1,00368E+19;Conclusão-Decurso de Prazo;23/08/2017;Contratos Bancários;223;0
1,00368E+19;Conclusão-Decurso de Prazo;20/09/2018;Contratos Bancários;60;0
1,00368E+19;Petição;08/10/2019;Contratos Bancários;55;1
1,00371E+19;Conclusão-Documento;09/06/2015;Contratos Bancários;240;0
1,00371E+19;Conclusão-Petição;15/01/2018;Contratos Bancários;39;0
1,00371E+19;Decurso de Prazo;23/08/2019;Contratos Bancários;101;1
1,00381E+19;Conclusão-Distribuição;10/06/2015;Contratos Bancários;1;0
1,00381E+19;Conclusão-Petição;06/10/2017;Contratos Bancários;19;0
1,00381E+19;Conclusão-Decurso de Prazo;10/04/2019;Contratos Bancários;76;0
1,00381E+19;Decurso de Prazo;10/08/2019;Contratos Bancários;114;1
1,00382E+19;Conclusão-Distribuição;12/06/2015;Outros;3;0
1,00382E+19;Conclusão-Petição;07/02/2018;Outros;54;0
1,00382E+19;Conclusão-Petição;29/06/2018;Outros;367;0
1,00382E+19;Decurso de Prazo;24/08/2019;Outros;100;1
1,00386E+19;Conclusão-Documento;12/06/2015;Contratos Bancários;312;0
1,00386E+19;Conclusão-Mandado;17/09/2018;Contratos Bancários;63;0
1,00386E+19;Conclusão-Decurso de Prazo;22/04/2019;Contratos Bancários;65;0
1,00386E+19;Decurso de Prazo;10/08/2019;Contratos Bancários;114;1
1,00386E+19;Conclusão-Documento;10/06/2015;Contratos Bancários;314;0
1,00386E+19;Conclusão-Decurso de Prazo;08/02/2018;Contratos Bancários;56;0
1,00386E+19;Conclusão-Decurso de Prazo;27/03/2019;Contratos Bancários;91;0
1,00386E+19;Decurso de Prazo;10/08/2019;Contratos Bancários;114;1
1,00387E+19;Conclusão-Documento;12/06/2015;Contratos Bancários;312;0
1,00387E+19;Conclusão-Petição;09/02/2018;Contratos Bancários;60;0
1,00387E+19;Decurso de Prazo;23/08/2019;Contratos Bancários;101;1
1,00388E+19;Conclusão-Documento;12/06/2015;Contratos Bancários;3;0
1,00388E+19;Conclusão-Ato ordinatório;20/10/2017;Contratos Bancários;172;0
1,00388E+19;Decurso de Prazo;23/08/2019;Contratos Bancários;101;1
1,00391E+19;Conclusão-Documento;12/06/2015;Contratos Bancários;3;0
1,00391E+19;Conclusão-Petição;14/11/2017;Contratos Bancários;14;0
1,00391E+19;Decurso de Prazo;23/08/2019;Contratos Bancários;101;1
1,00407E+19;Conclusão-Documento;18/06/2015;Contratos Bancários;1;0
1,00407E+19;Conclusão-Decurso de Prazo;06/04/2018;Contratos Bancários;48;0
1,00407E+19;Conclusão-Petição;23/04/2019;Contratos Bancários;63;0
1,00407E+19;Decurso de Prazo;09/08/2019;Contratos Bancários;115;1
1,00407E+19;Conclusão-Documento;18/06/2015;Contratos Bancários;306;0
1,00407E+19;Conclusão-Petição;08/02/2018;Contratos Bancários;54;0
1,00407E+19;Conclusão-Decurso de Prazo;10/04/2019;Contratos Bancários;40;0
1,00407E+19;Decurso de Prazo;24/08/2019;Contratos Bancários;100;1
1,00413E+19;Conclusão-Documento;22/06/2015;Contratos Bancários;1;0
1,00413E+19;Conclusão-Petição;16/01/2018;Contratos Bancários;79;0
1,00413E+19;Decurso de Prazo;23/08/2019;Contratos Bancários;101;1
1,00425E+19;Conclusão-Documento;25/06/2015;Outros;1;0
1,00425E+19;Conclusão-Mandado;20/10/2015;Outros;1;0
1,00425E+19;Conclusão-Documento;27/05/2016;Outros;60;0
1,00425E+19;Conclusão-Documento;21/09/2016;Outros;13;0
1,00425E+19;Conclusão-Decurso de Prazo;07/03/2017;Outros;6;0
1,00425E+19;Redistribuição;19/02/2018;Outros;651;1
1,00438E+19;Conclusão-Documento;30/06/2015;Contratos Bancários;294;0
1,00438E+19;Conclusão-Decurso de Prazo;21/09/2017;Contratos Bancários;201;0
1,00438E+19;Conclusão-Decurso de Prazo;10/04/2019;Contratos Bancários;76;0
1,00438E+19;Conclusão-Petição;30/10/2019;Contratos Bancários;33;0
1,00438E+19;Mero expediente;30/10/2019;Contratos Bancários;33;1
1,00449E+19;Conclusão-Documento;03/07/2015;Contratos Bancários;291;0
1,00449E+19;Conclusão-Petição;09/02/2018;Contratos Bancários;53;0
1,00449E+19;Conclusão-Juntada;08/10/2018;Contratos Bancários;172;0
1,00449E+19;Petição;10/10/2019;Contratos Bancários;53;1
1,00449E+19;Conclusão-Petição;03/07/2015;Contratos Bancários;3;0
1,00449E+19;Conclusão-Decurso de Prazo;14/09/2017;Contratos Bancários;208;0
1,00449E+19;Conclusão-Decurso de Prazo;10/04/2019;Contratos Bancários;76;0
1,00449E+19;Conclusão-Juntada;12/07/2019;Contratos Bancários;3;0
1,00449E+19;Decurso de Prazo;24/08/2019;Contratos Bancários;100;1
1,00451E+19;Conclusão-Documento;06/07/2015;Contratos Bancários;1;0
1,00451E+19;Conclusão-Petição;08/02/2018;Contratos Bancários;62;0
1,00451E+19;Decurso de Prazo;23/08/2019;Contratos Bancários;101;1
1,00466E+19;Conclusão-Documento;24/08/2015;Contratos Bancários;8;0
1,00466E+19;Conclusão-Documento;13/06/2016;Contratos Bancários;38;0
1,00466E+19;Conclusão-Documento;03/10/2016;Contratos Bancários;67;0
1,00466E+19;Redistribuição;19/02/2018;Contratos Bancários;651;1
1,00486E+19;Conclusão-Distribuição;16/07/2015;Contratos Bancários;1;0
1,00486E+19;Conclusão-Petição;07/04/2017;Contratos Bancários;5;0
1,00486E+19;Conclusão-Petição;28/02/2018;Contratos Bancários;41;0
1,00486E+19;Conclusão-Juntada;08/04/2019;Contratos Bancários;8;0
1,00486E+19;Decurso de Prazo;07/08/2019;Contratos Bancários;117;1
1,00487E+19;Conclusão-Documento;17/07/2015;Contratos Bancários;277;0
1,00487E+19;Conclusão-Decurso de Prazo;09/02/2018;Contratos Bancários;13;0
1,00487E+19;Decurso de Prazo;23/08/2019;Contratos Bancários;101;1
1,0049E+19;Conclusão-Documento;20/07/2015;Contratos Bancários;2;0
1,0049E+19;Conclusão-Decurso de Prazo;08/02/2018;Contratos Bancários;14;0
1,0049E+19;Conclusão-Decurso de Prazo;22/04/2019;Contratos Bancários;64;0
1,0049E+19;Decurso de Prazo;10/08/2019;Contratos Bancários;114;1
1,00497E+19;Conclusão-Documento;21/07/2015;Outros;13;0
1,00497E+19;Conclusão-Documento;07/08/2015;Outros;3;0
1,00497E+19;Conclusão-Documento;07/10/2015;Outros;156;0
1,00497E+19;Conclusão-Decurso de Prazo;12/04/2016;Outros;48;0
1,00497E+19;Conclusão-Documento;09/08/2016;Outros;10;0
1,00497E+19;Redistribuição;19/02/2018;Outros;651;1
1,00498E+19;Conclusão-Distribuição;21/07/2015;Outros;1;0
1,00498E+19;Conclusão-Decurso de Prazo;09/11/2017;Outros;236;0
1,00498E+19;Expedição de documento;08/10/2019;Outros;55;1
1,00504E+19;Conclusão-Documento;24/08/2015;Contratos Bancários;8;0
1,00504E+19;Conclusão-Decurso de Prazo;16/11/2016;Contratos Bancários;1;0
1,00504E+19;Conclusão-Documento;10/02/2017;Contratos Bancários;3;0
1,00504E+19;Conclusão-Documento;05/04/2017;Contratos Bancários;56;0
1,00504E+19;Conclusão-Documento;30/08/2017;Contratos Bancários;6;0
1,00504E+19;Petição;30/10/2018;Contratos Bancários;398;1
1,00514E+19;Conclusão-Documento;23/07/2015;Outros;1;0
1,00514E+19;Conclusão-Documento;21/01/2016;Outros;4;0
1,00514E+19;Conclusão-Expedição de documento;18/05/2017;Outros;20;0
1,00514E+19;Conclusão-Petição;27/08/2018;Outros;4;0
1,00514E+19;Conclusão-Decurso de Prazo;16/05/2019;Outros;114;0
1,00515E+19;Conclusão-Documento;24/07/2015;Contratos Bancários;4;0
1,00515E+19;Conclusão-Decurso de Prazo;08/02/2018;Contratos Bancários;56;0
1,00515E+19;Conclusão-Petição;12/04/2019;Contratos Bancários;75;0
1,00515E+19;Decurso de Prazo;10/08/2019;Contratos Bancários;114;1
1,00516E+19;Conclusão-Distribuição;24/07/2015;Contratos Bancários;270;0
1,00516E+19;Conclusão-Petição;09/02/2018;Contratos Bancários;61;0
1,00516E+19;Decurso de Prazo;23/08/2019;Contratos Bancários;101;1
1,00525E+19;Conclusão-Documento;31/07/2015;Outros;14;0
1,00525E+19;Conclusão-Mandado;29/09/2015;Outros;3;0
1,00525E+19;Conclusão-Documento;05/02/2016;Outros;60;0
1,00525E+19;Conclusão-Ato ordinatorio;05/04/2016;Outros;176;0
1,00525E+19;Conclusão-Decurso de Prazo;22/11/2016;Outros;57;0
1,00525E+19;Redistribuição;19/02/2018;Outros;651;1
1,00537E+19;Conclusão-Distribuição;03/08/2015;Contratos Bancários;2;0
1,00537E+19;Conclusão-Petição;16/01/2018;Contratos Bancários;77;0
1,00537E+19;Conclusão-Juntada;20/09/2018;Contratos Bancários;60;0
1,00537E+19;Decurso de Prazo;24/08/2019;Contratos Bancários;100;1
1,00548E+19;Conclusão-Distribuição;06/08/2015;Outros;4;0
1,00548E+19;Conclusão-Documento;21/01/2016;Outros;159;0
1,00548E+19;Conclusão-Decurso de Prazo;08/02/2018;Outros;57;0
1,00548E+19;Conclusão-Juntada;27/05/2019;Outros;154;0
1,00548E+19;Julgamento em Diligência;28/10/2019;Outros;35;1
1,00553E+19;Conclusão-Documento;10/08/2015;Contratos Bancários;2;0
1,00553E+19;Conclusão-Petição;16/01/2018;Contratos Bancários;79;0
1,00553E+19;Decurso de Prazo;23/08/2019;Contratos Bancários;101;1
1,00559E+19;Conclusão-Documento;12/08/2015;Contratos Bancários;2;0
1,00559E+19;Conclusão-Petição;16/01/2018;Contratos Bancários;77;0
1,00559E+19;Conclusão-Petição;20/09/2018;Contratos Bancários;60;0
1,00559E+19;Conclusão-Petição;16/05/2019;Contratos Bancários;29;0
1,00559E+19;Decurso de Prazo;24/08/2019;Contratos Bancários;100;1
1,00568E+19;Conclusão-Documento;14/08/2015;Outros;4;0
1,00568E+19;Conclusão-Mero expediente;24/08/2015;Outros;73;0
1,00568E+19;Conclusão-Documento;12/01/2016;Outros;118;0
1,00568E+19;Conclusão-Documento;21/06/2016;Outros;42;0
1,00568E+19;Redistribuição;19/02/2018;Outros;651;1
1,00577E+19;Conclusão-Documento;18/08/2015;Contratos Bancários;6;0
1,00577E+19;Conclusão-Petição;08/02/2018;Contratos Bancários;54;0
1,00577E+19;Decurso de Prazo;23/08/2019;Contratos Bancários;101;1
1,00337E+19;Conclusão-Documento;04/05/2016;Financiamento Público da Educação e/ou Pesquisa;1;0
1,00337E+19;Conclusão-Documento;27/06/2016;Financiamento Público da Educação e/ou Pesquisa;21;0
1,00337E+19;Conclusão-Documento;03/03/2017;Financiamento Público da Educação e/ou Pesquisa;3;0
1,00337E+19;Redistribuição;19/02/2018;Financiamento Público da Educação e/ou Pesquisa;651;1
1,00622E+19;Conclusão-Documento;28/08/2015;Contratos Bancários;235;0
1,00622E+19;Conclusão-Petição;04/10/2017;Contratos Bancários;152;0
1,00622E+19;Conclusão-Juntada;27/03/2019;Contratos Bancários;84;0
1,00622E+19;Conclusão-Decurso de Prazo;30/10/2019;Contratos Bancários;33;0
1,00622E+19;Mero expediente;30/10/2019;Contratos Bancários;33;1
1,00632E+19;Conclusão-Documento;01/09/2015;Outros;8;0
1,00632E+19;Conclusão-Decurso de Prazo;04/02/2016;Outros;14;0
1,00632E+19;Conclusão-Decurso de Prazo;05/05/2016;Outros;6;0
1,00632E+19;Conclusão-Documento;27/05/2016;Outros;131;0
1,00632E+19;Conclusão-Documento;08/02/2017;Outros;1;0
1,00632E+19;Redistribuição;19/02/2018;Outros;651;1
1,00638E+19;Conclusão-Redistribuição;02/09/2015;Contratos Bancários;2;0
1,00638E+19;Conclusão-Decurso de Prazo;08/02/2018;Contratos Bancários;61;0
1,00638E+19;Decurso de Prazo;23/08/2019;Contratos Bancários;101;1
1,0064E+19;Conclusão-Documento;04/09/2015;Outros;28;0
1,0064E+19;Conclusão-Petição;14/12/2015;Outros;66;0
1,0064E+19;Conclusão-Decurso de Prazo;07/02/2018;Outros;63;0
