"","N_Processo","Tipo_Movimentação","Data","Tempo","Censura"
"328",1.0008469220154e+19,"Conclusão-Documento","2015-02-05",0,0
"336",1.0008469220154e+19,"Conclusão-Petição","2018-01-16",12,0
"343",1.0008469220154e+19,"Decurso de Prazo","2019-08-23",101,1
"346",1.0009940620154e+19,"Conclusão-Distribuição","2015-02-09",0,0
"359",1.0009940620154e+19,"Conclusão-Decurso de Prazo","2018-08-24",97,0
"365",1.0009940620154e+19,"Decurso de Prazo","2019-08-24",100,1
"368",1.0010669020154e+19,"Conclusão-Documento","2015-02-12",0,0
"383",1.0010669020154e+19,"Conclusão-Decurso de Prazo","2018-02-08",106,0
"392",1.0010669020154e+19,"Conclusão-Juntada","2019-05-27",0,0
"397",1.0010669020154e+19,"Conclusão-Decurso de Prazo","2019-10-29",80,0
"398",1.0010669020154e+19,"Mero expediente","2019-10-30",33,1
"401",1.0012868820154e+19,"Conclusão-Documento","2015-02-26",0,0
"411",1.0012868820154e+19,"Conclusão-Decurso de Prazo","2018-02-09",114,0
"420",1.0012868820154e+19,"Decurso de Prazo","2019-08-23",101,1
"423",1.0013682220154e+19,"Conclusão-Documento","2015-03-02",0,0
"440",1.0013682220154e+19,"Conclusão-Decurso de Prazo","2017-08-08",336,0
"447",1.0013682220154e+19,"Decurso de Prazo","2019-08-23",101,1
"450",1.0014159320154e+19,"Conclusão-Documento","2015-03-04",0,0
"470",1.0014159320154e+19,"Decurso de Prazo","2019-08-23",101,1
"473",1.0015111120154e+19,"Conclusão-Documento","2015-03-06",0,0
"485",1.0015111120154e+19,"Conclusão-Decurso de Prazo","2018-02-09",114,0
"492",1.0015111120154e+19,"Decurso de Prazo","2019-08-23",101,1
"495",1.0015665920154e+19,"Conclusão-Distribuição","2015-03-09",0,0
"503",1.0015665920154e+19,"Conclusão-Decurso de Prazo","2017-09-21",83,0
"512",1.0015665920154e+19,"Conclusão-Decurso de Prazo","2019-04-22",124,0
"516",1.0015665920154e+19,"Conclusão-Decurso de Prazo","2019-10-30",81,0
"517",1.0015665920154e+19,"Mero expediente","2019-10-30",33,1
"518",1.0015718120154e+19,"Conclusão-Mero expediente","2015-03-09",33,0
"528",1.0015718120154e+19,"Conclusão-Decurso de Prazo","2017-09-21",92,0
"537",1.0015718120154e+19,"Conclusão-Decurso de Prazo","2019-04-10",61,0
"540",1.0015718120154e+19,"Decurso de Prazo","2019-08-10",114,1
"542",1.0015709620154e+19,"Conclusão-Distribuição","2015-03-31",22,0
"545",1.0015709620154e+19,"Conclusão-Mandado","2015-08-28",102,0
"550",1.0015709620154e+19,"Conclusão-Decurso de Prazo","2015-10-13",5,0
"553",1.0015709620154e+19,"Conclusão-Redistribuição","2015-10-16",1,0
"563",1.0015709620154e+19,"Conclusão-Decurso de Prazo","2018-02-09",5,0
"567",1.0015709620154e+19,"Conclusão-Petição","2018-09-27",79,0
"575",1.0015709620154e+19,"Decurso de Prazo","2019-08-24",100,1
"577",1.0019009320154e+19,"Conclusão-Distribuição","2015-03-24",0,0
"585",1.0019009320154e+19,"Conclusão-Petição","2015-11-30",139,0
"595",1.0019009320154e+19,"Conclusão-Petição","2017-07-05",0,0
"608",1.0019009320154e+19,"Conclusão-Petição","2017-11-29",1,0
"620",1.0019009320154e+19,"Conclusão-Desarquivamento","2019-10-10",50,0
"622",1.0019009320154e+19,"Expedição de documento","2019-10-24",39,1
"625",1.0019380820154e+19,"Conclusão-Documento","2015-03-25",0,0
"629",1.0019380820154e+19,"Conclusão-Documento","2015-03-26",0,0
"640",1.0019380820154e+19,"Conclusão-Documento","2018-04-18",148,0
"643",1.0019380820154e+19,"Conclusão-Mero expediente","2019-07-03",411,0
"648",1.0019380820154e+19,"Conclusão-Petição","2019-10-08",15,0
"653",1.0019380820154e+19,"Petição","2019-10-16",47,1
"654",1.0020178420154e+19,"Conclusão-Petição","2015-03-30",47,0
"662",1.0020178420154e+19,"Conclusão-Documento","2015-06-01",0,0
"667",1.0020178420154e+19,"Conclusão-Decurso de Prazo","2015-10-15",112,0
"689",1.0020178420154e+19,"Conclusão-Documento","2015-12-03",0,0
"703",1.0020178420154e+19,"Conclusão-Documento","2016-05-04",0,0
"718",1.0020178420154e+19,"Redistribuição","2018-02-19",651,1
"721",1.0020151720154e+19,"Conclusão-Documento","2015-03-30",0,0
"729",1.0020151720154e+19,"Conclusão-Decurso de Prazo","2018-02-08",152,0
"736",1.0020151720154e+19,"Conclusão-Petição","2019-03-27",118,0
"741",1.0020151720154e+19,"Conclusão-Decurso de Prazo","2019-10-30",82,0
"742",1.0020151720154e+19,"Mero expediente","2019-10-30",33,1
"745",1.0020308320154e+19,"Conclusão-Documento","2015-03-30",0,0
"753",1.0020308320154e+19,"Conclusão-Petição","2017-09-21",90,0
"767",1.0020308320154e+19,"Petição","2019-08-12",112,1
"769",1.0020645820154e+19,"Conclusão-Distribuição","2015-04-06",6,0
"781",1.0020645820154e+19,"Conclusão-Documento","2015-06-02",0,0
"791",1.0020645820154e+19,"Conclusão-Documento","2015-07-06",0,0
"806",1.0020645820154e+19,"Conclusão-Petição","2017-03-20",13,0
"812",1.0020645820154e+19,"Conclusão-Decurso de Prazo","2017-05-04",6,0
"816",1.0020645820154e+19,"Redistribuição","2018-02-19",651,1
"817",1.0021546620154e+19,"Conclusão-Redistribuição","2015-04-06",651,0
"825",1.0021546620154e+19,"Conclusão-Mero expediente","2015-05-29",0,0
"830",1.0021546620154e+19,"Conclusão-Petição","2016-02-23",204,0
"832",1.0021546620154e+19,"Conclusão-Ato ordinatorio","2016-10-03",0,0
"834",1.0021546620154e+19,"Conclusão-Ato ordinatorio","2016-10-03",0,0
"840",1.0021546620154e+19,"Redistribuição","2018-02-19",651,1
"843",1.0021615820154e+19,"Conclusão-Documento","2015-04-07",0,0
"857",1.0021615820154e+19,"Conclusão-Petição","2018-01-11",14,0
"861",1.0021615820154e+19,"Conclusão-Decurso de Prazo","2018-09-20",31,0
"867",1.0021615820154e+19,"Decurso de Prazo","2019-08-24",100,1
"870",1.0015195120164e+19,"Conclusão-Documento","2016-02-24",0,0
"888",1.0015195120164e+19,"Conclusão-Decurso de Prazo","2016-05-05",1,0
"896",1.0015195120164e+19,"Conclusão-Documento","2016-05-30",0,0
"910",1.0015195120164e+19,"Redistribuição","2018-02-19",651,1
"913",1.0023478120154e+19,"Conclusão-Distribuição","2015-04-14",0,0
"921",1.0023478120154e+19,"Conclusão-Decurso de Prazo","2017-09-22",84,0
"930",1.0023478120154e+19,"Decurso de Prazo","2019-08-23",101,1
"935",1.0023547320154e+19,"Conclusão-Petição","2015-04-14",0,0
"941",1.0023547320154e+19,"Conclusão-Petição","2017-07-04",1,0
"950",1.0023547320154e+19,"Decurso de Prazo","2019-08-23",101,1
"952",1.0025149820154e+19,"Conclusão-Distribuição","2015-04-22",2,0
"960",1.0025149820154e+19,"Conclusão-Petição","2017-09-21",90,0
"967",1.0025149820154e+19,"Decurso de Prazo","2019-08-23",101,1
"970",1.0026405120154e+19,"Conclusão-Documento","2015-04-27",0,0
"979",1.0026405120154e+19,"Conclusão-Decurso de Prazo","2017-09-21",92,0
"989",1.0026405120154e+19,"Conclusão-Decurso de Prazo","2019-05-27",225,0
"993",1.0026405120154e+19,"Petição","2019-10-17",46,1
"996",1.0026881020154e+19,"Conclusão-Documento","2015-04-28",0,0
"1007",1.0026881020154e+19,"Conclusão-Petição","2017-08-18",1,0
"1019",1.0026881020154e+19,"Conclusão-Decurso de Prazo","2019-04-23",125,0
"1023",1.0026881020154e+19,"Decurso de Prazo","2019-10-08",55,1
"1026",1.0027972420154e+19,"Conclusão-Documento","2015-04-30",0,0
"1034",1.0027972420154e+19,"Conclusão-Decurso de Prazo","2018-02-08",134,0
"1039",1.0027972420154e+19,"Decurso de Prazo","2019-08-24",100,1
"1042",1.0028604920154e+19,"Conclusão-Documento","2015-05-05",0,0
"1050",1.0028604920154e+19,"Conclusão-Decurso de Prazo","2018-02-08",152,0
"1059",1.0028604920154e+19,"Decurso de Prazo","2019-08-23",101,1
"1061",1.0028422820154e+19,"Conclusão-Distribuição","2015-05-05",1,0
"1070",1.0028422820154e+19,"Conclusão-Decurso de Prazo","2017-12-19",140,0
"1078",1.0028422820154e+19,"Decurso de Prazo","2019-08-23",101,1
"1081",1.0029340620154e+19,"Conclusão-Documento","2015-05-06",0,0
"1103",1.0029340620154e+19,"Decurso de Prazo","2019-08-23",101,1
"1106",1.0029644120154e+19,"Conclusão-Documento","2015-05-06",0,0
"1118",1.0029644120154e+19,"Conclusão-Petição","2017-09-26",74,0
"1128",1.0029644120154e+19,"Decurso de Prazo","2019-08-23",101,1
"1131",1.0030406520154e+19,"Conclusão-Documento","2015-05-11",0,0
"1143",1.0030406520154e+19,"Conclusão-Petição","2017-09-21",85,0
"1149",1.0030406520154e+19,"Conclusão-Decurso de Prazo","2018-02-08",69,0
"1155",1.0030406520154e+19,"Conclusão-Decurso de Prazo","2019-03-27",148,0
"1162",1.0030406520154e+19,"Decurso de Prazo","2019-08-10",114,1
"1166",1.0030649320154e+19,"Conclusão-Documento","2015-06-09",0,0
"1172",1.0030649320154e+19,"Conclusão-Documento","2016-02-22",0,0
"1181",1.0030649320154e+19,"Conclusão-Documento","2016-03-01",0,0
"1199",1.0030649320154e+19,"Redistribuição","2018-02-19",651,1
"1202",1.0030588620154e+19,"Conclusão-Documento","2015-05-11",0,0
"1209",1.0030588620154e+19,"Conclusão-Petição","2017-09-21",87,0
"1217",1.0030588620154e+19,"Decurso de Prazo","2019-08-23",101,1
"1220",1.0031003820154e+19,"Conclusão-Documento","2015-05-12",0,0
"1229",1.0031003820154e+19,"Conclusão-Petição","2017-06-13",0,0
"1235",1.0031003820154e+19,"Conclusão-Decurso de Prazo","2018-09-20",31,0
"1257",1.0031003820154e+19,"Decurso de Prazo","2019-08-07",117,1
"1260",1.0033463420154e+19,"Conclusão-Documento","2015-06-05",0,0
"1265",1.0033463420154e+19,"Conclusão-Documento","2015-09-29",0,0
"1270",1.0033463420154e+19,"Conclusão-Petição","2015-11-13",24,0
"1284",1.0033463420154e+19,"Conclusão-Documento","2016-04-12",0,0
"1296",1.0033463420154e+19,"Conclusão-Decurso de Prazo","2016-08-09",20,0
"1300",1.0033463420154e+19,"Redistribuição","2018-02-19",651,1
"1302",1.0033879820154e+19,"Conclusão-Distribuição","2015-05-26",1,0
"1313",1.0033879820154e+19,"Conclusão-Decurso de Prazo","2018-02-08",16,0
"1320",1.0033879820154e+19,"Conclusão-Petição","2019-06-12",103,0
"1323",1.0033879820154e+19,"Decurso de Prazo","2019-09-28",65,1
"1326",1.0033853120154e+19,"Conclusão-Documento","2015-06-09",0,0
"1330",1.0033853120154e+19,"Conclusão-Documento","2016-04-15",0,0
"1338",1.0033853120154e+19,"Conclusão-Documento","2016-12-01",0,0
"1346",1.0033853120154e+19,"Conclusão-Mero expediente","2017-03-21",0,0
"1351",1.0033853120154e+19,"Conclusão-Decurso de Prazo","2017-05-15",19,0
"1357",1.0033853120154e+19,"Conclusão-Redistribuição","2018-02-27",8,0
"1362",1.0033853120154e+19,"Conclusão-Decurso de Prazo","2018-06-13",4,0
"1368",1.0033853120154e+19,"Conclusão-Decurso de Prazo","2019-03-08",87,0
"1370",1.0033853120154e+19,"Ato ordinatorio","2019-05-20",196,1
"1373",1.0034060720154e+19,"Conclusão-Documento","2015-05-26",0,0
"1382",1.0034060720154e+19,"Conclusão-Petição","2018-01-15",17,0
"1392",1.0034060720154e+19,"Petição","2019-09-18",75,1
"1395",1.0034433420154e+19,"Conclusão-Documento","2015-06-09",0,0
"1399",1.0034433420154e+19,"Conclusão-Mandado","2016-02-23",20,0
"1406",1.0034433420154e+19,"Conclusão-Documento","2016-04-15",0,0
"1412",1.0034433420154e+19,"Conclusão-Documento","2017-07-18",0,0
"1420",1.0034433420154e+19,"Conclusão-Mudança de Classe Processual","2017-10-02",12,0
"1425",1.0034433420154e+19,"Conclusão-Petição","2018-01-16",56,0
"1437",1.0034433420154e+19,"Conclusão","2019-05-09",207,1
"1440",1.0034364220154e+19,"Conclusão-Documento","2015-05-26",0,0
"1447",1.0034364220154e+19,"Conclusão-Petição","2017-06-13",0,0
"1464",1.0034364220154e+19,"Conclusão-Decurso de Prazo","2019-10-30",84,0
"1465",1.0034364220154e+19,"Mero expediente","2019-10-30",33,1
"1468",1.0036035920154e+19,"Conclusão-Documento","2015-05-29",0,0
"1478",1.0036035920154e+19,"Conclusão-Petição","2017-06-09",0,0
"1487",1.0036035920154e+19,"Decurso de Prazo","2019-08-23",101,1
"1490",1.0036815320154e+19,"Conclusão-Documento","2015-06-09",0,0
"1510",1.0036815320154e+19,"Conclusão-Decurso de Prazo","2017-08-23",162,0
"1516",1.0036815320154e+19,"Conclusão-Decurso de Prazo","2018-09-20",31,0
"1521",1.0036815320154e+19,"Petição","2019-10-08",55,1
"1524",1.0037066620154e+19,"Conclusão-Documento","2015-06-09",0,0
"1535",1.0037066620154e+19,"Conclusão-Petição","2018-01-15",18,0
"1542",1.0037066620154e+19,"Decurso de Prazo","2019-08-23",101,1
"1544",1.0038122820154e+19,"Conclusão-Distribuição","2015-06-10",1,0
"1554",1.0038122820154e+19,"Conclusão-Petição","2017-10-06",0,0
"1564",1.0038122820154e+19,"Conclusão-Decurso de Prazo","2019-04-10",70,0
"1569",1.0038122820154e+19,"Decurso de Prazo","2019-08-10",114,1
"1571",1.0038175020154e+19,"Conclusão-Distribuição","2015-06-12",3,0
"1583",1.0038175020154e+19,"Conclusão-Petição","2018-02-07",182,0
"1590",1.0038175020154e+19,"Conclusão-Petição","2018-06-29",74,0
"1595",1.0038175020154e+19,"Decurso de Prazo","2019-08-24",100,1
"1598",1.0038642420154e+19,"Conclusão-Documento","2015-06-12",0,0
"1607",1.0038642420154e+19,"Conclusão-Mandado","2018-09-17",151,0
"1612",1.0038642420154e+19,"Conclusão-Decurso de Prazo","2019-04-22",49,0
"1615",1.0038642420154e+19,"Decurso de Prazo","2019-08-10",114,1
"1618",1.0038573220154e+19,"Conclusão-Documento","2015-06-10",0,0
"1626",1.0038573220154e+19,"Conclusão-Decurso de Prazo","2018-02-08",106,0
"1631",1.0038573220154e+19,"Conclusão-Decurso de Prazo","2019-03-27",148,0
"1636",1.0038573220154e+19,"Decurso de Prazo","2019-08-10",114,1
"1639",1.0038711620154e+19,"Conclusão-Documento","2015-06-12",0,0
"1652",1.0038711620154e+19,"Conclusão-Petição","2018-02-09",1,0
"1661",1.0038711620154e+19,"Decurso de Prazo","2019-08-23",101,1
"1664",1.0038772320154e+19,"Conclusão-Documento","2015-06-12",0,0
"1671",1.0038772320154e+19,"Conclusão-Ato ordinatório","2017-10-20",25,0
"1679",1.0038772320154e+19,"Decurso de Prazo","2019-08-23",101,1
"1682",1.0039058820154e+19,"Conclusão-Documento","2015-06-12",0,0
"1691",1.0039058820154e+19,"Conclusão-Petição","2017-11-14",4,0
"1699",1.0039058820154e+19,"Decurso de Prazo","2019-08-23",101,1
"1702",1.0040703820154e+19,"Conclusão-Documento","2015-06-18",0,0
"1711",1.0040703820154e+19,"Conclusão-Decurso de Prazo","2018-04-06",163,0
"1719",1.0040703820154e+19,"Conclusão-Petição","2019-04-23",144,0
"1723",1.0040703820154e+19,"Decurso de Prazo","2019-08-09",115,1
"1726",1.0040739020154e+19,"Conclusão-Documento","2015-06-18",0,0
"1733",1.0040739020154e+19,"Conclusão-Petição","2018-02-08",135,0
"1740",1.0040739020154e+19,"Conclusão-Decurso de Prazo","2019-04-10",68,0
"1744",1.0040739020154e+19,"Decurso de Prazo","2019-08-24",100,1
"1747",1.0041258620154e+19,"Conclusão-Documento","2015-06-22",0,0
"1755",1.0041258620154e+19,"Conclusão-Petição","2018-01-16",13,0
"1762",1.0041258620154e+19,"Decurso de Prazo","2019-08-23",101,1
"1765",1.0042496920154e+19,"Conclusão-Documento","2015-06-25",0,0
"1776",1.0042496920154e+19,"Conclusão-Mandado","2015-10-20",13,0
"1790",1.0042496920154e+19,"Conclusão-Documento","2016-05-27",0,0
"1802",1.0042496920154e+19,"Conclusão-Documento","2016-09-21",0,0
"1807",1.0042496920154e+19,"Conclusão-Decurso de Prazo","2017-03-07",27,0
"1814",1.0042496920154e+19,"Redistribuição","2018-02-19",651,1
"1817",1.0043787420154e+19,"Conclusão-Documento","2015-06-30",0,0
"1823",1.0043787420154e+19,"Conclusão-Decurso de Prazo","2017-09-21",134,0
"1836",1.0043787420154e+19,"Conclusão-Decurso de Prazo","2019-04-10",67,0
"1842",1.0043787420154e+19,"Conclusão-Petição","2019-10-30",76,0
"1843",1.0043787420154e+19,"Mero expediente","2019-10-30",33,1
"1846",1.0044939520154e+19,"Conclusão-Documento","2015-07-03",0,0
"1857",1.0044939520154e+19,"Conclusão-Petição","2018-02-09",130,0
"1866",1.0044939520154e+19,"Conclusão-Juntada","2018-10-08",0,0
"1877",1.0044939520154e+19,"Petição","2019-10-10",53,1
"1878",1.0044921320154e+19,"Conclusão-Petição","2015-07-03",53,0
"1886",1.0044921320154e+19,"Conclusão-Decurso de Prazo","2017-09-14",146,0
"1895",1.0044921320154e+19,"Conclusão-Decurso de Prazo","2019-04-10",75,0
"1900",1.0044921320154e+19,"Conclusão-Juntada","2019-07-12",0,0
"1903",1.0044921320154e+19,"Decurso de Prazo","2019-08-24",100,1
"1906",1.0045103420154e+19,"Conclusão-Documento","2015-07-06",0,0
"1913",1.0045103420154e+19,"Conclusão-Petição","2018-02-08",133,0
"1920",1.0045103420154e+19,"Decurso de Prazo","2019-08-23",101,1
"1923",1.0046601520154e+19,"Conclusão-Documento","2015-08-24",0,0
"1929",1.0046601520154e+19,"Conclusão-Documento","2016-06-13",0,0
"1937",1.0046601520154e+19,"Conclusão-Documento","2016-10-03",0,0
"1943",1.0046601520154e+19,"Redistribuição","2018-02-19",651,1
"1948",1.0048559720154e+19,"Conclusão-Documento","2015-07-16",0,0
"1957",1.0048559720154e+19,"Conclusão-Petição","2017-04-07",0,0
"1966",1.0048559720154e+19,"Conclusão-Petição","2018-02-28",19,0
"1973",1.0048559720154e+19,"Conclusão-Juntada","2019-04-08",0,0
"1980",1.0048559720154e+19,"Decurso de Prazo","2019-08-07",117,1
"1983",1.0048706620154e+19,"Conclusão-Documento","2015-07-17",0,0
"1991",1.0048706620154e+19,"Conclusão-Decurso de Prazo","2018-02-09",114,0
"1998",1.0048706620154e+19,"Decurso de Prazo","2019-08-23",101,1
"2001",1.0049044120154e+19,"Conclusão-Documento","2015-07-20",0,0
"2013",1.0049044120154e+19,"Conclusão-Decurso de Prazo","2018-02-08",106,0
"2022",1.0049044120154e+19,"Conclusão-Decurso de Prazo","2019-04-22",124,0
"2025",1.0049044120154e+19,"Decurso de Prazo","2019-08-10",114,1
"2028",1.0049668120154e+19,"Conclusão-Documento","2015-07-21",0,0
"2034",1.0049668120154e+19,"Conclusão-Documento","2015-08-07",0,0
"2043",1.0049668120154e+19,"Conclusão-Documento","2015-10-07",0,0
"2055",1.0049668120154e+19,"Conclusão-Decurso de Prazo","2016-04-12",0,0
"2066",1.0049668120154e+19,"Conclusão-Documento","2016-08-09",0,0
"2072",1.0049668120154e+19,"Redistribuição","2018-02-19",651,1
"2074",1.0049771320154e+19,"Conclusão-Distribuição","2015-07-21",1,0
"2088",1.0049771320154e+19,"Conclusão-Decurso de Prazo","2017-11-09",114,0
"2096",1.0049771320154e+19,"Expedição de documento","2019-10-08",55,1
"2099",1.0050395320154e+19,"Conclusão-Documento","2015-08-24",0,0
"2115",1.0050395320154e+19,"Conclusão-Decurso de Prazo","2016-11-16",4,0
"2121",1.0050395320154e+19,"Conclusão-Documento","2017-02-10",0,0
"2135",1.0050395320154e+19,"Conclusão-Documento","2017-04-05",0,0
"2144",1.0050395320154e+19,"Conclusão-Documento","2017-08-30",0,0
"2154",1.0050395320154e+19,"Petição","2018-10-30",398,1
"2157",1.0051390820154e+19,"Conclusão-Documento","2015-07-23",0,0
"2165",1.0051390820154e+19,"Conclusão-Documento","2016-01-21",0,0
"2175",1.0051390820154e+19,"Conclusão-Expedição de documento","2017-05-18",3,0
"2181",1.0051390820154e+19,"Conclusão-Petição","2018-08-27",0,0
"2185",1.0051390820154e+19,"Conclusão-Decurso de Prazo","2019-05-16",223,0
"2193",1.0051390820154e+19,"Decurso de Prazo","2019-10-11",52,1
"2196",1.0051451520154e+19,"Conclusão-Documento","2015-07-24",0,0
"2204",1.0051451520154e+19,"Conclusão-Decurso de Prazo","2018-02-08",106,0
"2209",1.0051451520154e+19,"Conclusão-Petição","2019-04-12",164,0
"2213",1.0051451520154e+19,"Decurso de Prazo","2019-08-10",114,1
"2215",1.0051581420154e+19,"Conclusão-Distribuição","2015-07-24",1,0
"2226",1.0051581420154e+19,"Conclusão-Petição","2018-02-09",133,0
"2234",1.0051581420154e+19,"Decurso de Prazo","2019-08-23",101,1
"2237",1.0052490720154e+19,"Conclusão-Documento","2015-07-31",3,0
"2248",1.0052490720154e+19,"Conclusão-Mandado","2015-09-29",3,0
"2254",1.0052490720154e+19,"Conclusão-Documento","2016-02-05",0,0
"2256",1.0052490720154e+19,"Conclusão-Ato ordinatorio","2016-04-05",0,0
"2260",1.0052490720154e+19,"Conclusão-Decurso de Prazo","2016-11-22",3,0
"2272",1.0052490720154e+19,"Redistribuição","2018-02-19",651,1
"2275",1.0053678020154e+19,"Conclusão-Distribuição","2015-08-03",0,0
"2286",1.0053678020154e+19,"Conclusão-Petição","2018-01-16",13,0
"2291",1.0053678020154e+19,"Conclusão-Juntada","2018-09-20",79,0
"2295",1.0053678020154e+19,"Decurso de Prazo","2019-08-24",100,1
"2297",1.0054794920154e+19,"Conclusão-Distribuição","2015-08-06",0,0
"2303",1.0054794920154e+19,"Conclusão-Documento","2016-01-21",0,0
"2310",1.0054794920154e+19,"Conclusão-Decurso de Prazo","2018-02-08",134,0
"2320",1.0054794920154e+19,"Conclusão-Juntada","2019-05-27",0,0
"2321",1.0054794920154e+19,"Julgamento em Diligência","2019-10-28",35,1
"2324",1.0055253820154e+19,"Conclusão-Documento","2015-08-10",0,0
"2334",1.0055253820154e+19,"Conclusão-Petição","2018-01-16",14,0
"2341",1.0055253820154e+19,"Decurso de Prazo","2019-08-23",101,1
"2344",1.0055920320154e+19,"Conclusão-Documento","2015-08-12",0,0
"2358",1.0055920320154e+19,"Conclusão-Petição","2018-01-16",13,0
"2363",1.0055920320154e+19,"Conclusão-Petição","2018-09-20",55,0
"2373",1.0055920320154e+19,"Conclusão-Petição","2019-05-16",21,0
"2377",1.0055920320154e+19,"Decurso de Prazo","2019-08-24",100,1
"2380",1.0056751920154e+19,"Conclusão-Documento","2015-08-14",0,0
"2382",1.0056751920154e+19,"Conclusão-Mero expediente","2015-08-24",6,0
"2393",1.0056751920154e+19,"Conclusão-Documento","2016-01-12",0,0
"2403",1.0056751920154e+19,"Conclusão-Documento","2016-06-21",0,0
"2414",1.0056751920154e+19,"Redistribuição","2018-02-19",651,1
"2417",1.0057713420154e+19,"Conclusão-Documento","2015-08-18",0,0
"2430",1.0057713420154e+19,"Conclusão-Petição","2018-02-08",135,0
"2438",1.0057713420154e+19,"Decurso de Prazo","2019-08-23",101,1
"2441",1.0033711320164e+19,"Conclusão-Documento","2016-05-04",0,0
"2457",1.0033711320164e+19,"Conclusão-Documento","2016-06-27",0,0
"2468",1.0033711320164e+19,"Conclusão-Documento","2017-03-03",0,0
"2473",1.0033711320164e+19,"Redistribuição","2018-02-19",651,1
"2476",1.0062242920154e+19,"Conclusão-Documento","2015-08-28",0,0
"2483",1.0062242920154e+19,"Conclusão-Petição","2017-10-04",0,0
"2491",1.0062242920154e+19,"Conclusão-Juntada","2019-03-27",0,0
"2496",1.0062242920154e+19,"Conclusão-Decurso de Prazo","2019-10-30",67,0
"2497",1.0062242920154e+19,"Mero expediente","2019-10-30",33,1
"2500",1.0063160720154e+19,"Conclusão-Documento","2015-09-01",0,0
"2511",1.0063160720154e+19,"Conclusão-Decurso de Prazo","2016-02-04",128,0
"2525",1.0063160720154e+19,"Conclusão-Decurso de Prazo","2016-05-05",1,0
"2531",1.0063160720154e+19,"Conclusão-Documento","2016-05-27",0,0
"2542",1.0063160720154e+19,"Conclusão-Documento","2017-02-08",0,0
"2544",1.0063160720154e+19,"Conclusão-Ato ordinatorio","2017-02-08",0,0
"2549",1.0063160720154e+19,"Redistribuição","2018-02-19",651,1
"2550",1.0063784720154e+19,"Conclusão-Redistribuição","2015-09-02",651,0
"2564",1.0063784720154e+19,"Conclusão-Decurso de Prazo","2018-02-08",121,0
"2571",1.0063784720154e+19,"Decurso de Prazo","2019-08-23",101,1
"2575",1.0063983820154e+19,"Conclusão-Documento","2015-09-04",0,0
