"","Nº Processo","Apelido","Classificação","Status","Classe do Processo","Data Inicial","Recebimento, triagem e conclusão do processo","Despacho para notificação do Requerido","Expedição de notificação","Cumprimento da notificação","Oferecimento de manifestação por escrito","Decisão rejeição da ação ou recebimento pet. inicial","Expedição de intimação e/ou citação","Cumprimento da intimação e/ou citação","Contestação e/ou agravo de instrumento","Ato ordinatório (Réplica)","Expedição de intimação","Cumprimento da intimação","Réplica","Ato ordinatório (Provas)","Expedição de intimação (Requerente)","Cumprimento  da intimação","Provas","Expedição de intimação (Requerido)","Cumprimento da intimação","Provas","Decisão saneamento","Expedição de intimação (Requerente)","Cumprimento da intimação","Pedido de esclarecimento ou solicitação de ajustes","Expedição de intimação (Requerido)","Cumprimento da intimação","Pedido de esclarecimento ou solicitação de ajustes","Prova pericial","Prova oral (audiência de instrução e julgamento)","Ato ordinário (Alegações finais)","Expedição de intimação (Requerente)","Cumprimento da intimação","Alegações finais","Expedição de intimação (Requerido)","Cumprimento da intimação","Alegações finais","Recebimento e conclusão do processo","Sentença"
"57","179XXX","Apelido57","Encerrado","Ok","Busca e Apreensão","2019-06-03",4,0,3,3,16,32,3,3,11,4,4,4,11,2,4,3,7,3,10,5,12,3,5,8,5,7,3,102,61,1,4,10,13,3,4,20,3,22
"58","180XXX","Apelido58","Encerrado","Alerta","Busca e Apreensão","2019-03-19",1,4,2,4,18,31,1,4,13,4,4,10,12,3,3,5,8,5,4,10,12,2,5,4,0,10,5,93,70,3,2,7,10,0,3,15,4,26
"59","181XXX","Apelido59","Encerrado","Ok","Busca e Apreensão","2019-05-26",5,2,0,5,17,31,4,5,17,1,4,4,14,2,2,7,9,3,9,5,13,1,8,7,3,4,4,108,64,4,4,10,15,4,6,13,1,22
"60","182XXX","Apelido60","Encerrado","Atrasado","Busca e Apreensão","2019-03-18",2,5,1,3,17,26,5,4,13,5,1,3,18,4,3,3,10,2,8,5,9,0,5,10,2,9,8,102,58,5,5,10,12,5,5,19,2,31
"61","183XXX","Apelido61","Aberto","Alerta","Ação Popular","2019-07-05",1,2,3,3,14,40,2,7,11,5,1,6,18,1,0,4,8,3,4,10,13,4,9,5,2,9,10,111,59,5,5,7,18,1,5,10,0,25
"62","184XXX","Apelido62","Aberto","Ok","Ação Popular","2019-01-02",5,1,1,4,11,33,4,4,13,2,4,7,19,4,2,4,3,4,8,9,15,4,6,4,2,7,5,108,69,0,1,8,11,5,8,15,3,22
"63","185XXX","Apelido63","Aberto","Alerta","Ação Popular","2020-01-17",1,0,1,5,12,25,3,6,11,5,4,8,13,4,2,7,10,1,10,3,10,1,4,7,0,7,3,91,69,5,2,3,15,1,6,11,0,28
"64","186XXX","Apelido64","Aberto","Atrasado","Ação Popular","2019-06-12",4,0,0,3,10,38,3,5,17,1,4,3,19,2,5,6,6,2,4,7,11,5,5,5,1,9,6,104,56,4,5,4,20,4,10,10,4,37
"65","187XXX","Apelido65","Aberto","Ok","Ação Popular","2020-03-12",2,2,0,6,18,32,2,7,20,2,3,8,15,4,3,7,4,0,5,9,14,1,3,10,1,3,10,92,64,2,3,5,15,1,4,12,2,22
"66","188XXX","Apelido66","Aberto","Alerta","Ação Popular","2019-11-21",0,2,4,4,12,25,2,2,16,2,3,6,18,2,3,7,10,4,5,3,15,1,8,3,4,6,7,116,67,5,4,5,18,3,7,17,1,26
"67","189XXX","Apelido67","Aberto","Ok","Ação Popular","2020-01-19",3,5,3,2,15,36,1,2,13,4,5,5,18,1,3,6,4,3,7,3,11,1,7,5,1,8,10,94,62,0,2,10,13,2,4,13,5,22
"68","190XXX","Apelido68","Aberto","Atrasado","Ação Popular","2020-04-04",0,0,5,2,16,36,1,4,19,1,5,4,15,4,0,10,4,3,6,5,12,5,3,8,4,7,9,86,66,3,4,10,13,2,5,18,1,35
"69","191XXX","Apelido69","Aberto","Alerta","Ação Popular","2019-02-12",4,5,4,6,19,37,1,4,12,3,5,8,17,1,2,10,7,0,8,5,12,1,3,3,4,8,9,94,65,1,3,7,16,1,3,10,5,29
"70","192XXX","Apelido70","Aberto","Atrasado","Ação Popular","2020-02-18",2,1,5,7,11,34,3,6,15,5,1,10,16,5,5,6,7,5,7,4,15,2,3,3,3,5,10,93,66,5,1,4,19,1,3,16,2,38
"71","193XXX","Apelido71","Aberto","Atrasado","Ação Popular","2019-11-15",0,4,0,6,16,27,1,6,13,1,2,3,10,2,5,10,6,5,9,3,15,4,4,4,1,9,8,114,57,5,0,8,20,1,4,18,4,39
"72","194XXX","Apelido72","Aberto","Atrasado","Ação Popular","2019-11-26",1,1,0,2,13,28,1,3,20,4,5,7,17,5,1,7,4,3,5,9,11,1,4,3,3,3,9,105,58,0,4,9,13,5,9,10,1,36
"73","195XXX","Apelido73","Aberto","Ok","Ação Popular","2019-12-29",4,2,5,4,14,30,2,2,16,2,5,3,11,0,3,9,9,4,7,4,9,0,7,8,3,10,5,87,61,1,2,5,20,4,4,10,4,22
"74","196XXX","Apelido74","Aberto","Alerta","Ação Popular","2019-02-16",2,1,5,5,10,39,3,2,12,2,2,9,16,4,3,10,5,0,5,3,13,1,3,5,3,10,5,108,65,4,0,10,16,5,9,20,5,28
"75","197XXX","Apelido75","Aberto","Ok","Ação Popular","2019-12-11",5,4,0,7,17,32,3,5,17,3,5,7,12,1,2,6,5,5,6,4,11,2,7,8,0,9,4,93,62,1,0,6,15,0,9,12,3,22
"76","198XXX","Apelido76","Aberto","Alerta","Ação Popular","2019-01-14",2,3,3,7,13,36,2,5,19,1,3,5,19,5,2,5,4,2,9,5,11,1,5,3,0,4,9,110,68,4,5,8,11,4,5,12,2,26
"77","199XXX","Apelido77","Aberto","Ok","Ação Popular","2019-05-13",2,3,3,3,18,37,1,5,14,4,3,8,12,3,2,6,6,3,3,8,9,4,5,8,4,6,6,109,58,2,4,3,16,5,7,17,5,22
"78","200XXX","Apelido78","Aberto","Ok","Ação Popular","2019-04-21",4,3,0,2,15,32,1,5,11,5,4,10,11,3,3,9,6,0,7,3,13,1,5,4,5,7,7,115,56,3,1,10,18,3,3,16,1,22
"79","201XXX","Apelido79","Aberto","Ok","Ação Popular","2020-01-21",0,2,1,5,16,38,3,4,12,2,5,9,13,5,4,3,10,5,4,5,9,5,7,3,4,7,8,108,65,3,5,4,15,3,8,15,1,22
"80","202XXX","Apelido80","Aberto","Atrasado","Ação Popular","2020-02-02",5,3,5,2,15,27,1,5,20,2,3,5,14,5,5,9,5,4,10,9,12,2,3,9,1,8,8,91,56,2,5,3,16,4,4,20,4,37
"81","203XXX","Apelido81","Aberto","Ok","Ação Popular","2019-03-25",1,3,4,5,18,29,0,6,15,2,4,6,17,2,0,8,4,3,6,3,9,4,6,6,2,3,5,104,70,4,4,4,11,2,3,18,4,22
"82","204XXX","Apelido82","Aberto","Atrasado","Ação Popular","2019-11-26",3,3,0,6,13,37,3,4,13,2,2,9,13,3,3,9,9,4,6,9,10,0,9,9,2,6,4,106,58,0,1,6,14,1,6,14,0,32
"83","205XXX","Apelido83","Aberto","Ok","Ação Popular","2019-03-26",1,1,2,6,14,27,2,3,20,5,1,6,11,3,4,9,6,5,4,4,10,0,3,3,2,7,10,103,68,5,0,3,10,2,10,12,1,22
"84","206XXX","Apelido84","Aberto","Atrasado","Ação Popular","2019-10-02",4,5,5,4,14,35,1,7,13,4,4,6,10,1,3,8,7,4,4,4,12,5,7,3,0,6,7,96,63,5,0,4,11,3,6,10,0,35
"85","207XXX","Apelido85","Aberto","Atrasado","Ação Popular","2019-04-15",4,4,1,3,13,32,2,2,20,1,5,8,19,3,2,7,4,0,9,3,8,2,9,8,4,6,10,89,67,4,3,3,16,3,9,13,5,33
"86","208XXX","Apelido86","Aberto","Ok","Ação Popular","2020-01-02",3,5,5,6,11,39,0,5,19,5,5,9,10,4,2,10,10,4,3,6,9,5,9,3,4,7,10,95,57,4,1,6,20,2,3,15,1,22
"87","209XXX","Apelido87","Aberto","Atrasado","Ação Popular","2020-02-10",1,4,0,2,14,26,1,3,15,1,4,8,20,1,5,3,3,0,5,7,13,2,9,6,2,7,7,106,70,2,0,8,11,0,4,12,1,31
"88","210XXX","Apelido88","Aberto","Atrasado","Ação Popular","2020-04-22",2,1,5,5,20,27,0,3,14,4,2,7,15,2,3,10,10,1,9,4,9,5,5,7,0,9,10,88,57,4,5,7,16,0,10,18,5,35
"89","211XXX","Apelido89","Aberto","Alerta","Ação Popular","2019-03-15",1,4,1,4,19,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","212XXX","Apelido90","Aberto","Alerta","Ação Popular","2020-03-06",5,3,1,4,11,25,4,6,11,4,3,3,14,0,2,4,10,5,7,6,11,0,6,4,1,6,7,93,56,2,5,6,17,4,9,14,4,30
"91","213XXX","Apelido91","Aberto","Alerta","Ação Popular","2019-07-23",3,5,5,4,10,25,3,5,11,3,5,3,20,4,3,4,6,1,4,9,15,3,9,7,0,9,9,97,69,2,2,4,10,2,3,12,3,25
"92","214XXX","Apelido92","Aberto","Ok","Ação Popular","2019-05-26",1,0,3,3,20,33,4,3,11,1,2,4,15,5,1,6,8,4,8,9,9,5,3,8,2,9,7,82,61,0,5,5,11,0,3,14,1,22
"93","215XXX","Apelido93","Aberto","Ok","Ação Popular","2019-06-12",3,5,0,3,15,34,3,3,12,5,5,4,13,5,1,4,7,0,3,5,15,4,5,6,1,4,4,98,58,5,2,5,18,5,7,11,1,22
"94","216XXX","Apelido94","Aberto","Alerta","Ação Popular","2019-09-25",3,5,4,5,17,25,1,3,15,3,2,8,12,2,5,6,3,4,8,10,8,1,6,4,0,9,8,112,67,0,4,5,20,1,7,17,0,30
"95","217XXX","Apelido95","Aberto","Ok","Ação Popular","2020-02-12",1,3,5,2,14,32,4,7,17,3,4,7,15,2,3,3,3,0,9,4,9,2,5,4,5,10,7,88,58,2,4,3,20,3,9,20,1,22
"96","218XXX","Apelido96","Aberto","Atrasado","Ação Popular","2020-01-10",5,1,3,3,13,34,4,4,10,1,1,4,16,5,0,3,7,3,10,10,10,5,7,3,0,8,4,110,56,2,3,3,20,3,10,16,0,40
"97","219XXX","Apelido97","Aberto","Alerta","Ação Popular","2019-01-30",2,2,4,7,13,34,0,6,18,5,5,8,11,0,4,9,6,5,6,10,9,2,7,4,5,9,9,114,56,2,5,8,10,5,9,19,4,27
"98","220XXX","Apelido98","Aberto","Ok","Ação Popular","2019-04-07",1,4,4,3,12,26,4,7,12,4,4,4,15,2,2,6,9,2,8,7,10,1,8,6,3,8,4,113,56,0,2,8,20,4,9,16,5,22
"99","221XXX","Apelido99","Aberto","Ok","Ação Popular","2019-11-13",4,2,4,3,19,30,2,6,11,4,3,3,18,1,4,6,3,2,6,3,13,4,7,10,5,8,10,86,63,1,5,8,15,3,8,20,5,22
"100","222XXX","Apelido100","Aberto","Ok","Ação Popular","2019-05-21",2,3,5,4,18,29,3,6,14,4,1,9,16,0,0,10,6,0,5,3,15,1,8,9,0,7,8,116,69,5,3,4,15,1,7,17,0,22
"101","223XXX","Apelido101","Encerrado","Ok","Ação Popular","2019-11-24",1,4,1,5,15,38,5,6,10,1,4,10,12,1,2,5,5,5,10,8,12,3,9,8,1,6,5,116,55,0,5,6,14,1,9,18,1,22
"102","224XXX","Apelido102","Encerrado","Ok","Ação Popular","2019-08-12",0,0,2,2,12,29,2,3,19,1,5,10,17,4,5,3,8,2,8,7,14,0,10,7,2,5,6,113,58,5,0,3,17,1,4,13,0,22
"103","225XXX","Apelido103","Encerrado","Ok","Ação Popular","2020-02-01",0,4,5,2,11,37,5,3,10,4,4,8,19,3,0,7,4,2,10,8,14,5,9,10,4,4,6,92,64,4,3,10,14,0,7,15,2,22
"104","226XXX","Apelido104","Encerrado","Atrasado","Ação Popular","2019-11-19",0,2,2,2,15,34,3,5,13,1,4,6,16,5,5,3,8,1,8,6,14,5,4,6,1,5,4,106,70,1,2,5,17,5,8,13,4,39
"105","227XXX","Apelido105","Encerrado","Atrasado","Ação Popular","2020-04-06",0,2,4,4,14,36,3,5,12,2,2,4,11,5,2,10,7,3,4,7,11,4,3,10,3,10,9,84,62,3,4,5,15,2,8,20,1,40
"106","228XXX","Apelido106","Encerrado","Ok","Ação Popular","2020-01-23",5,1,2,4,10,38,0,3,17,1,5,3,14,0,4,6,9,0,3,4,9,2,6,10,1,7,8,87,64,0,3,3,11,5,6,11,1,22
"107","229XXX","Apelido107","Encerrado","Ok","Ação Popular","2020-02-13",1,1,5,7,18,26,1,7,10,1,4,3,15,2,4,9,6,3,9,10,14,4,9,7,1,7,8,115,59,3,4,10,11,2,5,17,4,22
"108","230XXX","Apelido108","Encerrado","Atrasado","Ação Popular","2019-12-10",5,4,3,3,20,27,3,6,10,2,2,7,15,5,5,8,10,4,10,8,11,2,9,10,0,9,8,85,64,1,5,4,20,2,6,13,4,33
"109","231XXX","Apelido109","Encerrado","Ok","Ação Popular","2019-05-20",3,1,0,2,13,25,5,4,19,4,4,10,12,4,1,7,8,0,3,10,9,1,4,4,0,4,5,98,59,1,1,8,16,0,3,15,1,22
"110","232XXX","Apelido110","Encerrado","Ok","Ação Popular","2019-03-13",5,3,5,5,16,26,3,2,11,1,2,10,17,4,5,9,6,2,3,7,12,0,4,3,3,5,9,84,66,1,1,7,11,5,10,13,1,22
"111","233XXX","Apelido111","Encerrado","Ok","Ação Popular","2019-01-27",3,0,4,7,11,28,0,5,13,2,2,7,13,2,3,4,5,2,9,4,10,5,3,10,1,9,6,105,63,5,5,10,10,1,7,20,1,22
