"","Nº Processo","Apelido","Classificação","Status","Classe do Processo","Data Inicial","Recebimento, triagem e conclusão do processo","Despacho para notificação do Requerido","Expedição de notificação","Cumprimento da notificação","Oferecimento de manifestação por escrito","Decisão rejeição da ação ou recebimento pet. inicial","Expedição de intimação e/ou citação","Cumprimento da intimação e/ou citação","Contestação e/ou agravo de instrumento","Ato ordinatório (Réplica)","Expedição de intimação","Cumprimento da intimação","Réplica","Ato ordinatório (Provas)","Expedição de intimação (Requerente)","Cumprimento  da intimação","Provas","Expedição de intimação (Requerido)","Cumprimento da intimação","Provas","Decisão saneamento","Expedição de intimação (Requerente)","Cumprimento da intimação","Pedido de esclarecimento ou solicitação de ajustes","Expedição de intimação (Requerido)","Cumprimento da intimação","Pedido de esclarecimento ou solicitação de ajustes","Prova pericial","Prova oral (audiência de instrução e julgamento)","Ato ordinário (Alegações finais)","Expedição de intimação (Requerente)","Cumprimento da intimação","Alegações finais","Expedição de intimação (Requerido)","Cumprimento da intimação","Alegações finais","Recebimento e conclusão do processo","Sentença"
"12","1011XXX","Apelido889","Encerrado","Alerta","Ação Civil Coletiva","2019-12-21",2,3,5,3,18,23,4,4,16,1,1,3,15,5,4,10,9,1,8,4,8,5,2,2,3,6,4,86,63,1,1,7,20,2,7,15,5,39
"13","1012XXX","Apelido890","Encerrado","Alerta","Ação Civil Coletiva","2018-11-13",1,4,5,1,12,35,1,6,11,3,1,9,20,2,3,10,7,3,3,8,16,3,6,9,1,4,10,93,66,5,0,0,0,0,0,0,0,0
"14","1013XXX","Apelido891","Encerrado","Alerta","Ação Civil Coletiva","2019-12-16",1,5,2,1,11,25,2,3,10,1,2,6,16,1,1,3,5,3,6,6,10,3,7,5,5,3,3,97,58,2,5,4,10,5,10,11,4,34
"15","1014XXX","Apelido892","Encerrado","Alerta","Ação Civil Coletiva","2017-01-12",4,4,4,3,10,27,3,2,18,4,1,7,17,5,1,8,6,1,5,6,18,1,10,6,1,2,3,99,53,3,2,7,0,0,0,0,0,0
"16","1015XXX","Apelido893","Encerrado","Alerta","Ação Civil Coletiva","2019-04-24",4,1,4,1,10,40,2,4,16,3,2,9,14,5,3,4,3,4,6,3,12,5,9,2,1,5,5,102,66,5,1,6,16,3,5,18,1,26
"17","1016XXX","Apelido894","Encerrado","Alerta","Ação Civil Coletiva","2017-12-20",2,1,2,6,15,40,3,1,17,1,4,5,17,4,5,2,5,5,7,4,12,2,9,6,1,7,9,89,56,1,3,4,12,0,0,0,0,0
"18","1017XXX","Apelido895","Encerrado","Alerta","Ação Civil Coletiva","2019-03-02",3,2,5,3,13,25,4,3,11,4,5,8,10,5,3,3,10,1,3,2,11,4,2,9,5,3,8,95,58,5,1,8,13,3,6,20,2,33
"19","1018XXX","Apelido896","Encerrado","Alerta","Ação Civil Coletiva","2019-05-09",2,1,1,3,10,33,1,5,20,1,1,4,15,4,4,10,4,1,7,3,16,1,5,5,2,3,5,96,63,1,1,6,10,2,0,0,0,0
"20","1019XXX","Apelido897","Encerrado","Alerta","Ação Civil Coletiva","2019-01-18",2,1,5,2,13,27,1,5,17,1,4,5,17,1,2,7,6,4,6,4,8,5,6,6,1,4,7,88,59,1,4,4,17,3,8,18,2,29
"21","1020XXX","Apelido898","Encerrado","Alerta","Ação Civil Coletiva","2018-03-24",3,4,5,5,18,24,1,1,20,1,3,7,10,1,1,8,3,1,3,2,16,1,3,3,5,9,4,95,53,1,3,4,11,3,4,0,0,0
"22","1021XXX","Apelido899","Encerrado","Alerta","Ação Civil Coletiva","2017-09-20",4,2,2,4,15,23,4,3,12,3,2,4,10,3,1,3,3,2,8,7,15,2,8,8,4,7,7,88,60,2,4,7,18,1,10,19,1,25
"23","1022XXX","Apelido900","Encerrado","Alerta","Ação Civil Coletiva","2018-05-18",5,4,1,1,17,24,4,3,19,4,4,4,10,2,5,6,2,4,10,10,12,3,10,8,2,5,9,99,56,4,1,2,10,5,2,17,0,0
"24","1023XXX","Apelido901","Encerrado","Alerta","Ação Civil Coletiva","2018-07-29",1,2,1,6,20,31,2,6,11,1,5,3,14,1,1,7,9,5,7,4,12,5,3,3,5,4,7,102,65,1,3,2,14,1,8,13,2,37
"25","1024XXX","Apelido902","Encerrado","Alerta","Ação Civil Coletiva","2018-11-04",1,1,3,3,12,38,3,6,19,3,4,9,17,1,3,10,3,2,10,5,16,1,3,4,5,8,3,103,70,2,1,10,11,1,10,20,5,0
"26","1025XXX","Apelido903","Encerrado","Alerta","Ação Civil Coletiva","2018-08-29",0,4,3,4,16,27,5,4,11,4,1,2,16,3,1,2,8,1,8,8,8,1,4,6,3,5,7,103,55,3,3,5,15,2,8,13,3,40
"27","1026XXX","Apelido904","Encerrado","Alerta","Ação Civil Coletiva","2018-07-03",1,2,1,7,10,35,4,4,17,3,5,6,13,1,5,2,8,1,9,6,15,5,8,5,1,3,2,97,59,5,3,9,19,3,7,15,2,32
"28","1027XXX","Apelido905","Encerrado","Alerta","Ação Civil Coletiva","2017-04-11",3,5,2,5,18,30,4,5,16,5,1,5,11,1,4,5,3,3,9,8,17,4,6,7,4,10,4,99,53,5,2,3,10,5,10,13,5,38
"29","1028XXX","Apelido906","Encerrado","Alerta","Ação Civil Coletiva","2019-05-23",4,1,4,1,13,26,1,6,16,3,2,10,18,1,2,7,5,2,2,8,16,1,10,5,2,5,10,105,61,3,5,7,19,1,9,14,4,22
"30","1029XXX","Apelido907","Encerrado","Alerta","Ação Civil Coletiva","2018-06-29",1,5,1,1,20,27,3,2,14,2,5,5,10,4,1,2,8,5,3,4,17,5,5,4,1,4,6,104,66,1,1,4,17,1,2,12,1,34
"31","1030XXX","Apelido908","Encerrado","Alerta","Ação Civil Coletiva","2018-01-29",4,3,1,6,12,26,3,6,12,2,5,2,12,2,4,3,3,2,9,5,15,1,5,5,4,2,7,92,58,1,2,8,13,3,8,13,2,35
"32","1031XXX","Apelido909","Encerrado","Alerta","Ação Civil Coletiva","2017-01-31",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","1032XXX","Apelido910","Encerrado","Alerta","Ação Civil Coletiva","2019-03-23",4,1,5,6,20,35,3,6,20,1,5,10,10,5,4,4,8,4,2,10,14,1,10,2,3,4,7,88,59,1,1,10,13,1,6,19,1,22
"34","1033XXX","Apelido911","Encerrado","Alerta","Ação Civil Coletiva","2017-04-06",4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","1034XXX","Apelido912","Encerrado","Alerta","Ação Civil Coletiva","2018-09-02",5,4,1,3,19,28,2,1,14,4,5,3,12,1,1,6,6,1,10,4,15,4,6,2,5,9,7,96,66,4,1,10,16,3,3,20,5,28
"36","1035XXX","Apelido913","Encerrado","Alerta","Ação Civil Coletiva","2019-07-21",4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","1036XXX","Apelido914","Encerrado","Alerta","Ação Civil Coletiva","2019-03-12",2,4,3,5,11,38,3,5,10,1,4,3,17,2,2,7,6,3,5,2,13,5,3,6,3,8,3,103,69,1,1,8,12,1,3,11,1,34
"38","1037XXX","Apelido915","Encerrado","Alerta","Ação Civil Coletiva","2017-10-24",4,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","1038XXX","Apelido916","Encerrado","Alerta","Ação Civil Coletiva","2018-03-10",0,1,3,2,18,38,5,3,17,2,1,5,17,1,5,2,9,2,6,7,16,2,8,3,2,5,2,100,58,5,1,8,14,1,6,18,3,23
"40","1039XXX","Apelido917","Encerrado","Alerta","Ação Civil Coletiva","2018-04-02",1,2,4,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","1040XXX","Apelido918","Encerrado","Alerta","Ação Civil Coletiva","2018-10-09",2,1,4,7,14,25,1,2,15,1,5,7,17,1,2,7,3,2,8,2,17,2,7,10,3,9,5,93,65,2,3,3,16,2,10,15,3,22
"42","1041XXX","Apelido919","Encerrado","Alerta","Ação Civil Coletiva","2019-07-02",2,1,4,4,19,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","1042XXX","Apelido920","Encerrado","Alerta","Ação Civil Coletiva","2017-12-20",0,2,5,3,17,35,1,2,12,1,1,6,10,4,2,3,2,4,2,8,16,1,7,8,5,4,6,91,51,3,1,8,20,3,8,20,3,32
"44","1043XXX","Apelido921","Encerrado","Alerta","Ação Civil Coletiva","2017-07-31",0,4,2,5,14,36,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","1044XXX","Apelido922","Encerrado","Atrasado","Ação Civil Coletiva","2019-07-20",1,4,1,6,17,22,2,3,18,1,5,9,19,4,3,3,4,4,4,2,18,1,8,4,1,9,5,100,66,3,1,3,18,2,2,11,5,23
"46","1045XXX","Apelido923","Encerrado","Atrasado","Ação Civil Coletiva","2018-12-31",5,1,4,1,13,25,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","1046XXX","Apelido924","Encerrado","Atrasado","Ação Civil Coletiva","2019-02-10",0,1,1,2,12,32,3,1,11,2,4,8,17,3,4,10,10,2,8,3,10,2,6,4,5,9,8,104,54,1,2,3,18,1,3,12,1,35
"48","1047XXX","Apelido925","Encerrado","Atrasado","Ação Civil Coletiva","2017-06-10",1,4,4,6,11,25,1,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","1048XXX","Apelido926","Encerrado","Atrasado","Ação Civil Coletiva","2019-10-21",5,3,5,3,14,38,4,6,19,2,4,10,13,3,2,8,4,3,2,10,15,3,7,10,2,6,6,86,52,1,2,4,16,4,10,11,2,39
"50","1049XXX","Apelido927","Encerrado","Atrasado","Ação Civil Coletiva","2017-01-16",3,5,3,3,19,22,2,4,13,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","1050XXX","Apelido928","Encerrado","Atrasado","Ação Civil Coletiva","2018-10-25",4,1,1,7,10,23,4,3,12,5,5,4,12,1,2,4,3,1,4,10,13,1,9,3,5,2,4,96,63,2,4,4,10,1,6,10,4,34
"52","1051XXX","Apelido929","Encerrado","Atrasado","Ação Civil Coletiva","2017-12-25",2,1,1,3,13,36,1,3,20,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","1052XXX","Apelido930","Encerrado","Atrasado","Ação Civil Coletiva","2019-07-19",5,2,1,4,11,28,5,1,13,2,2,10,13,5,2,9,7,2,2,7,11,2,6,7,2,6,3,100,67,5,5,7,10,5,2,16,1,24
"54","1053XXX","Apelido931","Encerrado","Atrasado","Ação Civil Coletiva","2017-05-02",1,4,3,2,19,40,1,2,11,4,4,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","1054XXX","Apelido932","Encerrado","Atrasado","Ação Civil Coletiva","2018-03-30",2,1,5,6,14,27,1,1,19,2,3,6,19,5,3,8,4,2,5,2,10,3,5,2,1,8,8,95,67,3,2,9,10,5,7,19,1,40
"56","1055XXX","Apelido933","Encerrado","Atrasado","Ação Civil Coletiva","2018-05-15",2,5,3,3,19,39,1,6,10,1,2,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","1056XXX","Apelido934","Encerrado","Atrasado","Ação Civil Coletiva","2019-01-21",1,3,2,7,11,27,2,3,15,1,3,7,11,1,4,10,2,5,9,3,9,4,9,10,1,6,10,97,52,3,4,6,10,2,10,15,1,22
"58","1057XXX","Apelido935","Encerrado","Atrasado","Ação Civil Coletiva","2017-12-09",5,1,1,4,14,36,3,7,13,1,4,2,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","1058XXX","Apelido936","Encerrado","Atrasado","Ação Civil Coletiva","2017-08-10",0,3,1,2,13,24,2,3,18,2,1,3,15,1,3,10,7,4,3,10,11,1,7,8,5,9,6,90,67,3,4,3,12,1,2,18,1,36
"60","1059XXX","Apelido937","Encerrado","Atrasado","Ação Civil Coletiva","2017-12-24",1,1,5,7,20,39,3,4,12,4,3,8,19,1,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","1060XXX","Apelido938","Encerrado","Atrasado","Ação Civil Coletiva","2018-07-01",5,4,3,2,12,36,4,3,17,2,4,9,16,1,3,6,9,3,5,2,12,2,6,9,3,4,2,99,64,1,1,4,16,4,3,13,1,31
"62","1061XXX","Apelido939","Encerrado","Atrasado","Ação Civil Coletiva","2018-08-24",1,5,1,6,18,40,2,7,14,4,1,4,19,4,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","1062XXX","Apelido940","Encerrado","Atrasado","Ação Civil Coletiva","2019-03-09",1,5,5,4,10,26,4,6,17,4,2,7,20,2,2,7,2,1,5,6,17,2,7,4,3,7,10,101,50,2,1,8,16,2,3,18,1,24
"64","1063XXX","Apelido941","Encerrado","Atrasado","Ação Civil Coletiva","2017-12-31",2,1,1,3,14,24,4,4,19,2,1,4,19,1,2,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","1064XXX","Apelido942","Encerrado","Atrasado","Ação Civil Coletiva","2018-12-23",4,2,2,7,20,39,5,6,14,5,4,3,20,1,4,3,4,2,4,2,8,1,2,2,1,7,4,99,52,1,3,4,11,1,3,12,5,32
"66","1065XXX","Apelido943","Encerrado","Atrasado","Ação Civil Coletiva","2017-05-11",3,3,2,6,10,38,1,2,17,2,2,2,15,4,3,7,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","1066XXX","Apelido944","Encerrado","Atrasado","Ação Civil Coletiva","2017-01-09",3,2,2,7,17,31,1,7,13,4,1,3,19,4,5,9,5,2,4,7,18,1,5,9,1,3,7,92,64,4,2,2,12,5,4,14,5,25
"68","1067XXX","Apelido945","Encerrado","Atrasado","Ação Civil Coletiva","2019-05-10",2,1,3,1,17,33,4,3,16,1,4,9,20,3,1,4,5,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","1068XXX","Apelido946","Encerrado","Atrasado","Ação Civil Coletiva","2018-09-02",4,1,3,7,12,26,1,4,13,1,5,8,16,3,3,2,5,1,5,4,11,3,8,6,4,3,2,103,55,1,4,10,16,1,2,14,5,29
"70","1069XXX","Apelido947","Encerrado","Atrasado","Ação Civil Coletiva","2018-11-02",0,2,4,7,16,36,4,5,17,4,3,2,19,4,2,7,2,3,9,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","1070XXX","Apelido948","Encerrado","Atrasado","Ação Civil Coletiva","2018-05-16",1,1,1,1,18,39,1,2,20,2,1,5,11,2,1,4,2,3,10,5,13,2,5,8,1,9,2,101,65,1,1,3,14,1,5,14,1,31
"72","1071XXX","Apelido949","Encerrado","Atrasado","Ação Civil Coletiva","2017-09-20",2,2,4,3,13,24,3,5,18,3,2,9,16,1,5,10,3,3,8,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","1072XXX","Apelido950","Encerrado","Atrasado","Ação Civil Coletiva","2018-01-05",5,1,1,2,12,37,5,1,13,1,2,2,12,5,2,6,2,3,5,9,18,3,8,2,3,2,5,99,67,2,3,7,17,3,4,19,4,23
"74","1073XXX","Apelido951","Encerrado","Atrasado","Ação Civil Coletiva","2017-02-05",2,3,1,7,15,38,5,1,14,1,5,9,13,3,1,4,5,5,2,9,9,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","1074XXX","Apelido952","Encerrado","Atrasado","Ação Civil Coletiva","2019-05-22",1,1,1,6,19,30,4,3,12,5,5,10,19,1,1,3,2,3,6,6,10,4,4,8,5,10,2,86,62,5,5,8,20,1,8,15,3,29
"76","1075XXX","Apelido953","Encerrado","Atrasado","Ação Civil Coletiva","2018-02-22",0,2,4,2,19,39,4,1,20,5,1,3,14,1,2,8,10,2,7,3,18,5,9,4,0,0,0,0,0,0,0,0,0,0,0,0,1,36
"77","1076XXX","Apelido954","Encerrado","Atrasado","Ação Civil Coletiva","2019-11-24",5,1,1,7,10,36,3,3,15,4,1,10,13,1,2,5,5,2,7,3,14,1,8,8,5,2,8,98,55,1,5,2,13,2,7,16,1,32
"78","1077XXX","Apelido955","Encerrado","Atrasado","Ação Civil Coletiva","2019-04-22",2,1,4,7,19,24,1,1,10,2,2,8,20,3,1,7,6,1,8,6,18,5,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","1078XXX","Apelido956","Encerrado","Atrasado","Ação Civil Coletiva","2019-09-17",0,4,4,6,13,25,3,6,14,5,1,2,11,5,5,6,3,2,6,5,16,5,9,10,1,6,6,98,59,3,4,3,13,3,9,11,3,31
"80","1079XXX","Apelido957","Encerrado","Atrasado","Ação Civil Coletiva","2019-12-03",5,2,1,7,11,33,1,4,12,2,4,5,10,5,1,7,5,5,2,8,14,3,7,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0
"81","1080XXX","Apelido958","Encerrado","Atrasado","Ação Civil Coletiva","2019-07-21",0,5,2,4,14,34,1,4,14,4,5,10,10,3,2,5,10,3,6,8,14,2,6,5,1,8,7,101,70,3,1,4,13,5,2,13,4,34
"82","1081XXX","Apelido959","Encerrado","Atrasado","Ação Civil Coletiva","2017-01-21",3,1,3,5,18,35,2,7,12,5,3,3,20,2,1,8,2,2,8,6,8,3,7,8,3,8,9,0,0,0,0,0,0,0,0,0,0,0
"83","1082XXX","Apelido960","Encerrado","Atrasado","Ação Civil Coletiva","2017-07-30",5,3,5,7,18,31,2,6,15,2,2,2,20,5,5,8,8,1,3,6,18,3,4,3,5,6,7,105,63,4,1,10,20,5,10,10,1,39
"84","1083XXX","Apelido961","Encerrado","Atrasado","Ação Civil Coletiva","2019-11-07",3,3,3,5,11,27,3,4,17,3,1,6,15,1,4,2,5,1,2,2,9,4,2,5,1,9,9,87,0,0,0,0,0,0,0,0,0,0
"85","1084XXX","Apelido962","Encerrado","Atrasado","Ação Civil Coletiva","2019-07-07",2,5,1,6,19,31,1,2,15,1,1,5,15,3,3,3,6,1,5,2,17,1,10,10,2,9,4,105,65,2,2,6,13,1,10,10,1,33
"86","1085XXX","Apelido963","Encerrado","Atrasado","Ação Civil Coletiva","2017-02-19",3,4,1,7,13,34,1,1,12,3,1,10,11,4,4,3,8,1,5,7,14,4,7,4,2,10,5,103,63,0,0,0,0,0,0,0,0,0
"87","1086XXX","Apelido964","Encerrado","Atrasado","Ação Civil Coletiva","2017-02-04",3,2,1,5,16,34,1,2,15,2,3,4,17,4,2,6,7,5,4,7,9,1,9,6,1,4,6,89,62,5,1,9,17,5,5,10,1,30
"88","1087XXX","Apelido965","Encerrado","Atrasado","Ação Civil Coletiva","2018-11-15",2,1,2,3,10,34,1,7,16,2,1,4,16,5,5,6,10,2,4,2,16,2,6,5,1,6,9,101,58,1,0,0,0,0,0,0,0,0
"89","1088XXX","Apelido966","Encerrado","Atrasado","Ação Civil Coletiva","2018-05-27",4,1,3,6,12,40,1,2,18,5,1,2,19,5,4,7,6,1,2,10,12,3,7,6,2,2,3,105,68,5,3,9,13,2,6,14,2,25
"90","1089XXX","Apelido967","Encerrado","Atrasado","Ação Civil Coletiva","2019-01-01",3,2,1,1,20,26,2,1,12,3,5,3,20,3,5,8,4,3,3,3,9,1,5,2,3,4,10,100,53,1,5,0,0,0,0,0,0,0
"91","1090XXX","Apelido968","Encerrado","Atrasado","Ação Civil Coletiva","2019-03-11",1,3,1,6,15,32,4,2,17,1,4,3,12,4,4,6,3,3,7,10,14,1,5,9,2,10,8,96,53,2,4,6,15,1,3,11,3,31
"92","1091XXX","Apelido969","Encerrado","Atrasado","Ação Civil Coletiva","2019-03-11",5,3,3,5,16,25,3,2,11,3,2,3,16,5,5,9,10,2,10,7,14,2,5,7,1,9,4,90,61,1,2,5,0,0,0,0,0,0
"93","1092XXX","Apelido970","Encerrado","Atrasado","Ação Civil Coletiva","2017-11-19",5,5,5,3,18,22,4,3,11,2,5,9,20,2,3,6,6,1,2,3,11,3,2,4,1,5,2,102,70,2,1,8,11,5,7,18,2,31
"94","1093XXX","Apelido971","Encerrado","Atrasado","Ação Civil Coletiva","2019-03-08",5,2,5,4,17,35,4,5,17,1,1,3,13,1,1,10,3,1,9,9,9,3,8,8,3,10,9,97,68,2,2,6,17,0,0,0,0,0
"95","1094XXX","Apelido972","Encerrado","Atrasado","Ação Civil Coletiva","2018-09-07",0,3,3,6,19,30,3,2,12,4,1,8,10,5,3,4,6,5,7,8,16,1,9,3,5,6,5,97,61,4,3,10,15,4,6,20,2,26
"96","1095XXX","Apelido973","Encerrado","Atrasado","Ação Civil Coletiva","2019-11-18",5,5,4,2,10,28,4,4,16,2,5,3,10,1,2,9,5,1,7,5,9,4,8,8,1,4,7,92,52,2,1,2,11,0,0,0,0,0
"97","1096XXX","Apelido974","Encerrado","Atrasado","Ação Civil Coletiva","2018-03-20",1,2,2,1,19,23,2,1,14,1,1,8,13,5,5,9,8,1,7,6,13,1,2,2,3,5,5,94,55,4,2,9,20,1,6,19,5,31
"98","1097XXX","Apelido975","Encerrado","Atrasado","Ação Civil Coletiva","2018-02-28",1,3,4,6,10,24,1,5,13,5,3,10,18,5,1,6,2,5,5,6,17,5,8,7,2,7,4,92,55,1,2,4,17,3,9,0,0,0
"99","1098XXX","Apelido976","Encerrado","Atrasado","Ação Civil Coletiva","2017-09-28",0,3,5,3,19,26,2,3,13,3,3,7,20,4,1,3,3,2,7,5,16,1,7,9,2,4,5,89,50,5,1,3,17,1,2,19,3,25
"100","1099XXX","Apelido977","Encerrado","Atrasado","Ação Civil Coletiva","2018-07-18",0,4,1,4,17,37,4,5,17,2,3,9,20,2,2,2,4,1,7,3,8,4,5,9,1,5,5,95,62,1,5,5,17,2,9,13,0,0
"101","1100XXX","Apelido978","Encerrado","Atrasado","Ação Civil Coletiva","2018-12-09",3,1,4,3,18,34,5,6,15,1,2,6,14,4,1,4,6,1,9,10,12,4,9,8,1,9,8,85,56,2,1,6,14,3,8,15,4,24
"102","1101XXX","Apelido979","Encerrado","Atrasado","Ação Civil Coletiva","2019-03-09",5,3,1,1,10,31,1,2,15,2,5,6,14,1,1,5,4,3,4,7,16,4,3,2,1,10,2,102,60,3,3,2,11,3,5,17,3,0
"103","1102XXX","Apelido980","Encerrado","Atrasado","Ação Civil Coletiva","2017-01-19",1,5,3,4,19,34,1,5,11,4,4,2,19,3,1,7,10,5,9,6,11,1,10,7,3,10,7,86,55,4,2,3,10,1,8,16,4,31
"104","1103XXX","Apelido981","Encerrado","Atrasado","Ação Civil Coletiva","2018-04-20",1,3,1,3,13,24,4,1,18,5,4,8,10,5,2,9,6,1,8,5,14,4,3,9,2,10,4,101,57,2,3,6,13,3,2,19,4,37
"105","1104XXX","Apelido982","Encerrado","Atrasado","Ação Civil Coletiva","2017-08-02",1,1,1,5,19,25,4,6,19,5,1,9,19,1,1,6,9,3,3,3,8,4,8,8,3,8,4,100,70,2,1,3,11,4,9,12,3,30
"106","1105XXX","Apelido983","Encerrado","Atrasado","Ação Civil Coletiva","2017-08-02",2,3,1,5,18,28,5,5,20,2,4,6,12,5,5,7,9,2,10,5,11,4,4,9,3,2,2,89,65,1,5,9,17,4,8,11,2,36
