"","Nº Processo","Apelido","Classificação","Status","Classe do Processo","Data Inicial","Recebimento, triagem e conclusão do processo","Despacho para notificação do Requerido","Expedição de notificação","Cumprimento da notificação","Oferecimento de manifestação por escrito","Decisão rejeição da ação ou recebimento pet. inicial","Expedição de intimação e/ou citação","Cumprimento da intimação e/ou citação","Contestação e/ou agravo de instrumento","Ato ordinatório (Réplica)","Expedição de intimação","Cumprimento da intimação","Réplica","Ato ordinatório (Provas)","Expedição de intimação (Requerente)","Cumprimento  da intimação","Provas","Expedição de intimação (Requerido)","Cumprimento da intimação","Provas","Decisão saneamento","Expedição de intimação (Requerente)","Cumprimento da intimação","Pedido de esclarecimento ou solicitação de ajustes","Expedição de intimação (Requerido)","Cumprimento da intimação","Pedido de esclarecimento ou solicitação de ajustes","Prova pericial","Prova oral (audiência de instrução e julgamento)","Ato ordinário (Alegações finais)","Expedição de intimação (Requerente)","Cumprimento da intimação","Alegações finais","Expedição de intimação (Requerido)","Cumprimento da intimação","Alegações finais","Recebimento e conclusão do processo","Sentença"
"11","133XXX","Apelido11","Aberto","Alerta","Busca e Apreensão","2017-01-12",0,2,1,3,16,39,5,6,11,0,0,2,14,5,0,2,6,5,3,9,10,1,10,3,2,9,10,88,50,3,1,9,13,2,10,14,2,32
"12","134XXX","Apelido12","Aberto","Ok","Busca e Apreensão","2018-07-14",5,3,0,2,19,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","135XXX","Apelido13","Aberto","Alerta","Busca e Apreensão","2018-07-30",3,2,5,4,19,28,3,5,11,1,2,9,17,2,2,3,9,0,6,9,12,3,5,6,0,9,2,85,68,4,3,9,14,5,3,14,2,30
"14","136XXX","Apelido14","Aberto","Alerta","Busca e Apreensão","2018-03-13",2,5,3,1,10,28,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","137XXX","Apelido15","Aberto","Atrasado","Busca e Apreensão","2019-11-17",0,5,5,5,16,32,2,3,20,3,2,3,20,1,3,10,5,3,9,6,11,3,9,6,3,8,7,102,55,2,1,10,18,1,3,12,0,35
"16","138XXX","Apelido16","Aberto","Ok","Busca e Apreensão","2018-11-09",0,0,5,5,18,32,5,3,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","139XXX","Apelido17","Aberto","Alerta","Busca e Apreensão","2017-04-15",4,4,4,5,12,23,5,3,15,1,3,8,19,5,4,9,6,3,9,6,10,1,6,2,1,6,6,97,62,3,2,8,12,5,5,14,1,23
"18","140XXX","Apelido18","Aberto","Ok","Busca e Apreensão","2019-02-18",1,0,1,7,20,40,1,4,18,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","141XXX","Apelido19","Aberto","Atrasado","Busca e Apreensão","2017-01-02",4,2,2,7,12,33,3,5,17,3,1,6,20,0,0,9,2,4,7,10,11,2,9,8,3,2,8,101,51,4,0,10,19,0,5,20,5,28
"20","142XXX","Apelido20","Aberto","Alerta","Busca e Apreensão","2018-11-10",3,1,4,3,13,31,0,2,18,1,1,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","143XXX","Apelido21","Aberto","Alerta","Busca e Apreensão","2018-03-10",4,1,2,3,20,32,1,4,19,0,2,2,16,5,0,9,3,4,8,7,16,0,5,9,5,10,9,93,61,2,0,9,14,3,2,13,2,25
"22","144XXX","Apelido22","Aberto","Ok","Busca e Apreensão","2018-01-30",3,0,2,7,12,35,4,6,10,2,1,5,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","145XXX","Apelido23","Aberto","Alerta","Busca e Apreensão","2017-11-16",5,5,1,5,11,36,1,4,18,4,5,6,20,3,5,6,5,0,6,4,13,1,2,4,5,6,7,92,64,1,3,7,10,0,10,16,1,31
"24","146XXX","Apelido24","Aberto","Alerta","Busca e Apreensão","2019-05-28",2,0,2,5,20,39,1,3,19,0,2,5,13,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","147XXX","Apelido25","Aberto","Alerta","Busca e Apreensão","2017-04-17",0,1,4,2,11,26,1,1,16,5,0,4,14,2,5,3,5,4,8,4,12,2,8,2,5,2,2,95,61,1,5,6,14,0,8,12,2,39
"26","148XXX","Apelido26","Aberto","Ok","Busca e Apreensão","2018-08-28",2,3,3,4,18,25,1,6,16,1,4,8,16,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","149XXX","Apelido27","Aberto","Alerta","Busca e Apreensão","2017-04-08",5,3,1,6,16,29,0,1,10,3,1,10,14,3,2,9,5,2,8,3,10,3,5,2,1,2,9,98,68,4,5,2,13,0,6,14,3,24
"28","150XXX","Apelido28","Aberto","Ok","Busca e Apreensão","2019-09-30",3,5,2,4,17,32,0,7,12,2,4,10,14,3,2,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","151XXX","Apelido29","Aberto","Alerta","Busca e Apreensão","2017-05-26",2,2,1,6,20,31,2,4,18,5,2,5,12,2,4,6,5,5,4,6,18,4,10,2,2,10,10,90,57,0,3,2,16,0,3,14,5,33
"30","152XXX","Apelido30","Aberto","Ok","Busca e Apreensão","2019-02-24",5,1,4,7,10,33,1,3,15,4,0,3,17,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","153XXX","Apelido31","Aberto","Ok","Busca e Apreensão","2017-06-29",3,4,4,2,10,27,1,1,19,3,1,7,10,0,4,6,3,3,8,7,9,2,4,2,0,2,3,90,70,1,1,4,20,3,8,18,0,23
"32","154XXX","Apelido32","Aberto","Alerta","Busca e Apreensão","2019-10-13",4,0,5,7,11,29,3,6,15,2,5,10,16,1,0,7,10,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","155XXX","Apelido33","Aberto","Ok","Busca e Apreensão","2018-02-09",2,5,1,4,18,39,3,7,20,0,3,7,17,5,3,8,3,5,6,5,8,5,6,5,5,7,8,94,56,0,2,3,20,3,3,15,3,31
"34","156XXX","Apelido34","Aberto","Atrasado","Busca e Apreensão","2018-05-03",2,5,0,5,10,30,0,4,20,2,2,7,19,1,3,10,6,5,10,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","157XXX","Apelido35","Aberto","Alerta","Busca e Apreensão","2018-08-16",4,1,3,5,20,33,5,4,15,0,0,7,18,3,2,3,7,0,7,7,16,1,7,3,5,2,6,102,58,0,5,10,11,3,3,15,0,25
"36","158XXX","Apelido36","Aberto","Ok","Busca e Apreensão","2018-10-04",2,0,1,5,10,32,0,4,14,1,4,8,10,4,3,4,6,1,9,6,11,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","159XXX","Apelido37","Aberto","Alerta","Busca e Apreensão","2018-02-20",2,2,4,6,17,26,0,1,20,3,4,6,20,4,0,10,4,4,4,4,10,0,4,9,0,5,5,96,50,5,1,3,13,5,10,15,5,39
"38","160XXX","Apelido38","Aberto","Ok","Busca e Apreensão","2019-08-30",0,4,1,4,16,40,3,4,11,4,5,10,19,0,3,5,5,5,9,3,12,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","161XXX","Apelido39","Aberto","Ok","Busca e Apreensão","2018-12-04",4,2,0,4,15,26,4,6,11,5,0,10,13,2,5,2,2,4,2,4,17,3,4,8,3,3,4,85,55,2,2,9,16,3,4,18,4,35
"40","162XXX","Apelido40","Aberto","Atrasado","Busca e Apreensão","2017-11-02",5,4,2,6,15,31,3,5,10,3,2,3,20,2,0,9,4,5,8,2,18,0,3,5,5,6,0,0,0,0,0,0,0,0,0,0,0,0
"41","163XXX","Apelido41","Aberto","Ok","Busca e Apreensão","2017-12-02",2,1,4,5,18,39,2,3,10,1,4,3,19,2,1,5,7,0,6,6,17,5,5,2,2,9,3,86,69,1,4,3,10,2,9,12,2,40
"42","164XXX","Apelido42","Aberto","Alerta","Busca e Apreensão","2018-11-26",0,1,2,3,13,35,0,1,17,5,5,8,17,1,4,9,7,2,6,9,9,2,8,7,4,3,6,0,0,0,0,0,0,0,0,0,0,0
"43","165XXX","Apelido43","Aberto","Atrasado","Busca e Apreensão","2019-12-03",3,1,2,1,18,36,4,7,19,0,2,4,11,4,4,5,4,3,2,4,17,1,9,7,5,7,8,87,61,0,3,5,17,3,2,18,5,27
"44","166XXX","Apelido44","Aberto","Ok","Busca e Apreensão","2018-03-24",2,3,3,1,18,26,1,6,16,3,5,5,14,2,1,8,10,3,10,3,10,1,2,4,5,8,10,94,55,0,0,0,0,0,0,0,0,0
"45","167XXX","Apelido45","Aberto","Atrasado","Busca e Apreensão","2017-08-20",0,1,1,2,16,25,0,4,15,3,1,3,18,3,5,9,2,4,6,9,14,1,8,6,5,9,7,102,67,0,1,8,15,3,3,15,1,24
"46","168XXX","Apelido46","Aberto","Alerta","Busca e Apreensão","2018-10-05",3,5,3,5,20,31,0,7,13,1,5,5,19,1,4,2,3,1,9,6,16,1,6,7,5,6,6,92,51,3,0,0,0,0,0,0,0,0
"47","169XXX","Apelido47","Aberto","Atrasado","Busca e Apreensão","2019-11-14",4,5,2,2,11,31,3,2,14,3,5,3,13,0,1,4,3,4,2,5,8,2,7,10,4,5,8,102,67,0,5,5,20,5,10,19,4,23
"48","170XXX","Apelido48","Aberto","Ok","Busca e Apreensão","2017-06-12",5,2,3,2,16,37,5,6,11,2,0,7,15,2,3,7,4,3,6,10,15,5,7,9,5,9,3,91,51,0,4,5,0,0,0,0,0,0
"49","171XXX","Apelido49","Aberto","Atrasado","Busca e Apreensão","2019-09-04",3,4,4,4,17,36,5,5,11,0,0,7,13,3,4,2,4,4,4,2,15,3,5,9,4,3,9,88,53,2,5,4,19,1,10,16,4,36
"50","172XXX","Apelido50","Aberto","Alerta","Busca e Apreensão","2017-01-06",3,2,3,4,14,28,0,4,15,0,0,7,16,0,2,5,9,5,5,8,11,1,8,6,5,4,10,93,63,5,1,10,18,0,0,0,0,0
"51","173XXX","Apelido51","Aberto","Atrasado","Busca e Apreensão","2018-12-30",2,4,2,4,19,23,4,7,15,0,4,2,19,3,1,7,5,4,4,6,14,5,10,9,4,5,2,92,53,0,3,2,14,0,3,16,1,24
"52","174XXX","Apelido52","Aberto","Ok","Busca e Apreensão","2018-11-26",1,1,4,1,10,23,4,7,17,2,4,3,14,2,1,2,3,5,4,8,12,5,4,2,2,6,10,100,64,2,2,4,15,4,0,0,0,0
"53","175XXX","Apelido53","Aberto","Alerta","Busca e Apreensão","2018-01-25",5,1,3,7,18,28,3,7,15,2,3,8,18,0,2,7,7,5,10,10,14,2,7,2,0,7,7,98,65,2,3,4,14,3,2,19,0,0
"54","176XXX","Apelido54","Aberto","Atrasado","Busca e Apreensão","2019-09-12",2,2,5,4,13,40,4,7,17,3,4,3,17,1,4,9,3,2,6,8,17,4,6,6,4,10,6,102,61,0,0,3,16,2,3,14,2,36
"55","177XXX","Apelido55","Aberto","Ok","Busca e Apreensão","2018-04-17",2,1,2,1,20,39,3,5,13,2,2,6,16,5,2,10,3,2,8,10,8,3,10,7,4,9,2,101,67,3,2,2,12,5,3,11,1,28
"56","178XXX","Apelido56","Aberto","Alerta","Busca e Apreensão","2018-04-24",0,0,1,6,13,24,3,3,14,5,0,3,16,3,3,7,2,3,7,7,17,3,6,9,2,10,10,103,62,5,4,7,15,2,9,15,5,25
"57","179XXX","Apelido57","Aberto","Atrasado","Busca e Apreensão","2018-06-26",1,5,2,6,13,39,2,2,19,4,4,9,18,0,0,6,4,2,7,6,11,4,10,9,0,7,4,91,57,3,2,8,13,5,3,20,2,35
"58","180XXX","Apelido58","Aberto","Ok","Busca e Apreensão","2017-10-10",3,0,3,6,17,29,2,4,19,1,2,7,16,5,0,2,2,3,5,2,13,1,9,7,4,10,5,105,50,3,3,7,18,2,7,20,2,39
"59","181XXX","Apelido59","Aberto","Atrasado","Busca e Apreensão","2019-08-28",5,3,5,6,16,32,1,4,11,5,1,10,15,2,4,5,9,4,3,3,16,0,10,8,3,4,6,91,60,3,2,4,15,3,9,11,1,29
"60","182XXX","Apelido60","Aberto","Alerta","Busca e Apreensão","2017-04-17",0,4,0,7,15,29,1,2,10,4,1,6,14,2,1,9,7,5,5,9,11,1,10,9,1,7,5,87,57,2,1,4,15,2,3,13,5,24
"61","183XXX","Apelido61","Aberto","Atrasado","Busca e Apreensão","2018-12-01",4,2,4,7,20,33,5,2,20,4,1,5,15,2,0,3,2,5,10,2,13,0,10,4,4,8,9,103,56,2,5,5,18,1,7,12,3,23
"62","184XXX","Apelido62","Aberto","Atrasado","Busca e Apreensão","2019-01-12",3,1,1,5,13,28,1,5,10,1,1,5,13,2,4,6,8,4,5,10,15,4,8,6,1,3,4,101,68,0,4,6,16,2,10,20,4,35
"63","185XXX","Apelido63","Aberto","Ok","Busca e Apreensão","2018-06-16",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","186XXX","Apelido64","Aberto","Atrasado","Busca e Apreensão","2018-03-09",1,4,2,1,20,25,1,3,17,2,1,2,11,4,3,2,7,5,3,6,15,3,6,2,0,10,5,92,64,3,0,5,13,0,9,20,2,30
"65","187XXX","Apelido65","Aberto","Alerta","Busca e Apreensão","2017-10-03",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","188XXX","Apelido66","Aberto","Ok","Busca e Apreensão","2019-09-19",5,4,3,1,14,26,5,3,19,4,5,2,19,5,4,8,4,5,10,7,17,2,9,10,3,3,9,102,50,5,3,10,16,0,9,15,5,37
"67","189XXX","Apelido67","Aberto","Atrasado","Busca e Apreensão","2017-05-09",3,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","190XXX","Apelido68","Aberto","Alerta","Busca e Apreensão","2018-10-11",0,0,2,1,14,29,1,4,18,2,5,7,20,2,2,3,5,5,4,2,13,0,7,2,4,4,9,104,65,4,5,10,12,5,4,11,0,25
"69","191XXX","Apelido69","Aberto","Ok","Busca e Apreensão","2019-05-29",3,2,2,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","192XXX","Apelido70","Aberto","Atrasado","Busca e Apreensão","2019-08-22",4,5,5,5,11,40,5,6,17,4,1,5,14,2,1,8,9,0,5,9,13,1,10,8,3,10,2,92,56,3,2,7,12,4,2,17,2,39
"71","193XXX","Apelido71","Aberto","Alerta","Busca e Apreensão","2019-12-27",4,5,0,1,12,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","194XXX","Apelido72","Aberto","Ok","Busca e Apreensão","2018-01-15",5,3,3,6,16,22,0,7,11,0,4,2,19,5,0,5,10,5,3,8,13,5,7,2,4,8,3,98,56,4,4,10,13,1,4,16,4,37
"73","195XXX","Apelido73","Aberto","Atrasado","Busca e Apreensão","2017-12-29",4,3,3,5,11,39,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","196XXX","Apelido74","Aberto","Ok","Busca e Apreensão","2017-03-09",5,5,2,6,14,24,1,7,18,5,5,2,10,2,3,5,3,5,2,8,9,0,3,5,0,8,4,103,57,0,2,7,19,3,5,15,3,25
"75","197XXX","Apelido75","Aberto","Alerta","Busca e Apreensão","2019-04-04",1,5,0,7,11,31,3,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","198XXX","Apelido76","Aberto","Atrasado","Busca e Apreensão","2018-04-05",3,3,2,1,13,40,4,2,13,5,2,9,18,4,3,3,9,4,2,8,17,3,3,9,4,3,10,104,65,1,4,7,10,1,6,10,0,37
"77","199XXX","Apelido77","Aberto","Ok","Busca e Apreensão","2017-09-24",4,5,0,2,18,35,4,3,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","200XXX","Apelido78","Aberto","Alerta","Busca e Apreensão","2017-12-17",1,4,4,2,18,34,0,1,19,1,4,4,16,5,1,5,7,4,8,6,18,1,3,7,0,4,8,101,69,4,0,3,17,3,7,12,2,35
"79","201XXX","Apelido79","Aberto","Atrasado","Busca e Apreensão","2019-04-04",3,2,0,3,19,38,2,7,13,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","202XXX","Apelido80","Aberto","Ok","Busca e Apreensão","2018-12-08",0,4,5,7,14,26,5,5,13,5,4,5,14,2,2,6,5,1,8,3,16,3,3,3,2,9,5,101,59,0,5,6,19,0,7,14,3,28
"81","203XXX","Apelido81","Aberto","Alerta","Busca e Apreensão","2018-07-03",2,1,1,2,11,40,2,1,13,1,3,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","204XXX","Apelido82","Aberto","Atrasado","Busca e Apreensão","2017-09-10",4,1,4,7,20,28,5,6,15,1,0,3,14,1,5,6,4,2,7,7,11,5,2,4,0,7,4,89,58,5,1,3,10,4,7,20,2,39
"83","205XXX","Apelido83","Aberto","Alerta","Busca e Apreensão","2018-10-13",1,3,1,3,14,34,2,2,12,0,5,6,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","206XXX","Apelido84","Aberto","Ok","Busca e Apreensão","2019-07-29",1,1,2,3,15,34,0,5,18,2,4,4,10,0,3,7,2,0,5,2,12,4,6,2,0,9,3,105,58,4,2,7,14,4,8,13,1,23
"85","207XXX","Apelido85","Aberto","Atrasado","Busca e Apreensão","2017-04-11",3,5,5,6,13,27,1,2,15,3,1,4,17,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","208XXX","Apelido86","Aberto","Ok","Busca e Apreensão","2018-01-19",4,1,1,2,11,37,1,2,17,3,3,6,18,0,0,3,8,2,6,3,18,0,10,2,3,6,9,86,59,0,3,9,10,3,2,17,1,33
"87","209XXX","Apelido87","Aberto","Alerta","Busca e Apreensão","2017-07-31",3,4,2,1,16,29,5,4,13,0,3,2,10,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","210XXX","Apelido88","Aberto","Alerta","Busca e Apreensão","2019-11-30",3,0,5,2,12,30,4,2,13,2,5,10,13,5,0,4,9,4,9,2,12,2,10,8,3,3,7,95,54,0,1,4,15,0,4,13,5,24
"89","211XXX","Apelido89","Aberto","Alerta","Busca e Apreensão","2018-02-05",5,3,2,2,13,24,0,6,14,0,4,10,18,5,5,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","212XXX","Apelido90","Aberto","Atrasado","Busca e Apreensão","2018-01-29",0,0,5,1,18,40,5,6,12,0,1,5,10,1,0,4,5,5,5,2,12,3,5,10,0,9,9,94,55,3,1,5,19,3,2,18,5,31
"91","213XXX","Apelido91","Aberto","Ok","Busca e Apreensão","2017-09-07",1,4,1,7,11,34,1,5,18,1,2,5,18,2,5,8,9,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","214XXX","Apelido92","Aberto","Atrasado","Busca e Apreensão","2018-11-09",2,5,2,2,12,39,5,5,13,5,0,6,13,0,0,10,4,0,9,3,8,2,9,9,2,9,4,101,51,3,5,7,18,5,5,10,0,38
"93","215XXX","Apelido93","Aberto","Atrasado","Busca e Apreensão","2017-02-09",5,0,3,7,13,29,5,3,20,4,4,10,11,1,0,2,2,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94","216XXX","Apelido94","Aberto","Alerta","Busca e Apreensão","2018-09-03",1,0,1,2,10,37,4,4,10,0,3,2,13,3,5,7,2,5,4,8,10,0,5,6,1,3,8,85,54,3,1,6,15,3,10,14,0,29
"95","217XXX","Apelido95","Aberto","Atrasado","Busca e Apreensão","2019-04-17",1,5,3,5,18,28,0,3,11,1,0,2,20,3,4,4,7,0,3,8,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","218XXX","Apelido96","Aberto","Ok","Busca e Apreensão","2017-09-23",3,1,1,7,13,22,3,6,17,0,4,9,19,1,4,5,7,3,3,2,14,3,7,5,2,4,7,93,56,1,1,6,20,0,4,19,1,29
"97","219XXX","Apelido97","Aberto","Atrasado","Busca e Apreensão","2019-05-08",0,1,5,4,19,39,1,2,20,1,2,5,11,1,0,2,2,3,7,10,12,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","220XXX","Apelido98","Aberto","Atrasado","Busca e Apreensão","2019-01-30",2,2,2,5,17,31,0,4,17,2,5,8,16,1,2,10,9,5,2,2,11,4,2,10,3,6,2,92,51,4,5,10,18,4,3,18,2,29
"99","221XXX","Apelido99","Aberto","Ok","Busca e Apreensão","2018-03-31",3,2,1,4,17,27,1,6,14,0,5,10,12,0,1,8,5,4,9,5,17,1,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100","222XXX","Apelido100","Aberto","Atrasado","Busca e Apreensão","2019-02-07",3,3,4,1,16,34,2,6,18,1,3,3,16,0,1,3,2,4,4,8,17,5,3,5,5,7,5,96,53,3,4,9,12,1,7,11,3,28
"101","223XXX","Apelido101","Aberto","Ok","Busca e Apreensão","2017-12-16",1,3,3,7,20,24,2,1,13,3,2,8,13,4,0,6,4,0,7,2,16,3,10,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","224XXX","Apelido102","Aberto","Ok","Busca e Apreensão","2018-12-14",5,1,4,3,10,33,5,6,13,2,2,4,11,2,2,7,10,2,6,10,14,1,8,9,1,8,4,103,67,4,1,10,20,5,4,11,0,37
"103","225XXX","Apelido103","Aberto","Ok","Busca e Apreensão","2018-05-28",2,3,0,6,10,31,1,2,16,4,3,6,17,3,5,4,7,5,7,10,11,1,4,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0
"104","226XXX","Apelido104","Aberto","Ok","Busca e Apreensão","2017-03-03",3,0,0,1,11,31,0,1,13,0,3,7,10,1,3,3,4,4,6,6,12,2,5,7,3,9,5,104,51,5,0,5,16,1,10,15,5,39
"105","227XXX","Apelido105","Aberto","Ok","Busca e Apreensão","2019-06-03",5,3,4,1,11,33,5,6,11,1,3,7,18,1,4,9,9,3,10,5,9,3,5,4,2,10,2,0,0,0,0,0,0,0,0,0,0,0
"106","228XXX","Apelido106","Aberto","Ok","Busca e Apreensão","2018-06-16",3,0,4,5,17,38,0,7,12,5,1,9,15,1,4,10,2,0,6,6,14,3,8,5,4,6,7,85,55,2,0,2,12,0,6,10,1,30
"107","229XXX","Apelido107","Aberto","Ok","Busca e Apreensão","2018-09-25",1,2,4,4,20,35,4,1,16,0,4,7,18,2,1,6,7,0,10,8,8,1,9,5,0,4,9,90,0,0,0,0,0,0,0,0,0,0
"108","230XXX","Apelido108","Aberto","Ok","Busca e Apreensão","2017-04-03",1,2,5,3,11,33,1,4,18,3,2,8,14,3,3,9,9,5,5,10,13,1,9,9,1,7,3,88,63,0,1,5,13,1,5,14,4,32
"109","231XXX","Apelido109","Aberto","Ok","Busca e Apreensão","2017-06-22",4,4,2,7,10,24,5,2,13,3,4,9,17,0,1,6,4,2,5,5,15,0,4,8,5,4,6,102,66,0,0,0,0,0,0,0,0,0
"110","232XXX","Apelido110","Aberto","Ok","Busca e Apreensão","2019-12-13",1,0,0,7,20,28,4,1,10,1,3,7,18,3,5,4,6,4,9,8,8,4,7,7,2,5,7,96,60,5,1,9,18,1,4,13,2,38
